removed_direct_comp,n_affected,mean_abs_change,median_abs_change,p95_abs_change,max_abs_change,n_large_01,n_large_02
Problem solving individual:TCAs,127,6.340944881890241e-5,0,2.3530000000013718e-4,0.00433800000000006,0,0
Mirtazapine:SNRIs,128,5.773437500000495e-5,0,3.206999999999622e-4,0.00116300000000002,0,0
Counselling individual:No treatment,128,5.481249999999455e-5,0,3.031000000000251e-4,0.00109399999999992,0,0
Acupuncture:Sham acupuncture,126,4.6063492063484715e-5,0,2.3099999999998125e-4,9.500000000000064e-4,0,0
Light therapy + AD:Placebo,124,4.592741935484208e-5,0,1.889500000002427e-4,0.00283299999999997,0,0
Light therapy + AD:SSRIs,124,4.592741935484208e-5,0,1.889500000002427e-4,0.00283299999999997,0,0
Light therapy:Light therapy + AD,124,4.592741935484208e-5,0,1.889500000002427e-4,0.00283299999999997,0,0
Light therapy:Placebo,124,4.592741935484208e-5,0,1.889500000002427e-4,0.00283299999999997,0,0
Light therapy:SSRIs,124,4.592741935484208e-5,0,1.889500000002427e-4,0.00283299999999997,0,0
Problem solving individual:Waitlist,128,4.414843749999658e-5,0,2.4395000000000352e-4,8.820000000000494e-4,0,0
Attention placebo:Problem solving individual,128,4.206249999999336e-5,0,2.3264999999999224e-4,8.399999999999519e-4,0,0
Attention placebo:Self-help,128,4.206249999999336e-5,0,2.3264999999999224e-4,8.399999999999519e-4,0,0
Exercise group:TAU,128,3.417187499999574e-5,0,1.8909999999999454e-4,6.820000000000714e-4,0,0
Any AD:Exercise individual + AD,128,3.2898437499995225e-5,0,1.8179999999998723e-4,6.569999999999077e-4,0,0
Mirtazapine:Trazodone,128,2.9734375000003255e-5,0,1.638500000000068e-4,5.939999999999834e-4,0,0
Cognitive and cognitive behavioural therapies group:SSRIs,128,1.6281250000004113e-5,0,8.939999999996993e-5,3.2500000000013074e-4,0,0
Acupuncture:TCAs,128,1.2234375000002749e-5,0,6.679999999996678e-5,2.44000000000133e-4,0,0
Any AD:Cognitive and cognitive behavioural therapies group + AD,128,1.1312500000005134e-5,0,6.279999999996278e-5,2.269999999999772e-4,0,0
Counselling individual:Problem solving individual,128,1.1250000000002848e-5,0,6.414999999998218e-5,2.329999999999277e-4,0,0
Short-term psychodynamic psychotherapies individual:SSRIs,128,1.1242187500005714e-5,0,6.215000000001627e-5,2.24000000000002e-4,0,0
Interpersonal psychotherapy (IPT) individual + placebo:TCAs,128,1.0796874999993776e-5,0,6.015000000003092e-5,2.1599999999999395e-4,0,0
Light therapy + AD:SNRIs,128,1.0703125000004958e-5,0,5.8500000000022334e-5,2.1300000000001873e-4,0,0
Interpersonal psychotherapy (IPT) individual + AD:SNRIs,128,1.0054687500005719e-5,0,5.549999999997493e-5,1.9999999999997797e-4,0,0
Exercise group:No treatment,128,9.820312500002232e-6,0,5.384999999998022e-5,1.96000000000085e-4,0,0
Problem solving group:Waitlist,128,8.156249999994794e-6,0,4.265000000000518e-5,1.7500000000003624e-4,0,0
No treatment:Self-help with support,128,7.94531250000697e-6,0,4.320000000002648e-5,1.580000000001025e-4,0,0
Any AD:Short-term psychodynamic psychotherapies individual + AD,128,5.8437500000035946e-06,0,3.189999999999577e-5,1.16000000000005e-4,0,0
Behavioural therapies individual + AD:Counselling individual + AD,128,5.8437500000035946e-06,0,3.189999999999577e-5,1.16000000000005e-4,0,0
Counselling individual + AD:Short-term psychodynamic psychotherapies individual + AD,128,5.8437500000035946e-06,0,3.189999999999577e-5,1.16000000000005e-4,0,0
Any psychotherapy:Behavioural therapies individual,128,4.156250000009063e-6,0,2.2600000000022565e-5,8.300000000005525e-5,0,0
Any psychotherapy:Short-term psychodynamic psychotherapies individual,128,4.156250000009063e-6,0,2.2600000000022565e-5,8.300000000005525e-5,0,0
Cognitive and cognitive behavioural therapies group:No treatment,128,3.7265625000053803e-6,0,2.0600000000003916e-5,7.400000000012952e-5,0,0
Any AD:Cognitive and cognitive behavioural therapies group,126,2.9047619047652777e-6,0,1.624999999996768e-5,5.699999999997374e-5,0,0
Any AD:TAU,126,2.9047619047652777e-6,0,1.624999999996768e-5,5.699999999997374e-5,0,0
Cognitive and cognitive behavioural therapies group:TAU,126,2.9047619047652777e-6,0,1.624999999996768e-5,5.699999999997374e-5,0,0
Cognitive and cognitive behavioural therapies individual:SNRIs,128,6.32812500009686e-7,0,3.000000000066838e-6,1.2000000000123023e-5,0,0
TCAs:Yoga group,128,8.593750000420591e-8,0,1.0000000000287557e-6,2.0000000000575113e-6,0,0
Waitlist:Yoga group,128,8.593750000420591e-8,0,1.0000000000287557e-6,2.0000000000575113e-6,0,0
Any AD:Peer support group,126,0,0,0,0,0,0
Any AD:Peer support group + AD,126,0,0,0,0,0,0
Any AD:Yoga group + AD,128,0,0,0,0,0,0
Counselling individual + AD:Counselling individual + placebo,128,0,0,0,0,0,0
Exercise group + AD:SSRIs,128,0,0,0,0,0,0
Mindfulness or meditation group:No treatment,128,0,0,0,0,0,0
Music therapy group:No treatment,128,0,0,0,0,0,0
No treatment:Psychoeducation group,128,0,0,0,0,0,0
Peer support group:Peer support group + AD,126,0,0,0,0,0,0
