removed_direct_comp,removed_direct_norm,n_removed_studies,status,status_msg,disconnected_flag,n_common_estimable,mean_abs_change_all,max_abs_change_all,n_common_directtype,mean_abs_change_directtype,max_abs_change_directtype,n_common_indirecttype,mean_abs_change_indirecttype,max_abs_change_indirecttype
Any AD:Cognitive and cognitive behavioural therapies group,AnyAD:Cognitiveandcognitivebehaviouraltherapiesgroup,1,ok,Model + league + compare succeeded,FALSE,126,2.9047619047652777e-6,5.699999999997374e-5,126,2.9047619047652777e-6,5.699999999997374e-5,0,NA,-Inf
Cognitive and cognitive behavioural therapies individual:SNRIs,Cognitiveandcognitivebehaviouraltherapiesindividual:SNRIs,1,ok,Model + league + compare succeeded,FALSE,128,6.32812500009686e-7,1.2000000000123023e-5,128,6.32812500009686e-7,1.2000000000123023e-5,0,NA,-Inf
TCAs:Yoga group,TCAs:Yogagroup,1,ok,Model + league + compare succeeded,FALSE,128,8.593750000420591e-8,2.0000000000575113e-6,128,8.593750000420591e-8,2.0000000000575113e-6,0,NA,-Inf
Waitlist:Yoga group,Waitlist:Yogagroup,1,ok,Model + league + compare succeeded,FALSE,128,8.593750000420591e-8,2.0000000000575113e-6,128,8.593750000420591e-8,2.0000000000575113e-6,0,NA,-Inf
Music therapy group:No treatment,Musictherapygroup:Notreatment,1,ok,Model + league + compare succeeded,FALSE,128,0,0,128,0,0,0,NA,-Inf
Counselling individual + AD:Counselling individual + placebo,Counsellingindividual+AD:Counsellingindividual+placebo,1,ok,Model + league + compare succeeded,FALSE,128,0,0,128,0,0,0,NA,-Inf
Any AD:Peer support group,AnyAD:Peersupportgroup,1,ok,Model + league + compare succeeded,FALSE,126,0,0,126,0,0,0,NA,-Inf
Peer support group:Peer support group + AD,Peersupportgroup:Peersupportgroup+AD,1,ok,Model + league + compare succeeded,FALSE,126,0,0,126,0,0,0,NA,-Inf
Any AD:Peer support group + AD,AnyAD:Peersupportgroup+AD,1,ok,Model + league + compare succeeded,FALSE,126,0,0,126,0,0,0,NA,-Inf
No treatment:Psychoeducation group,Notreatment:Psychoeducationgroup,1,ok,Model + league + compare succeeded,FALSE,128,0,0,128,0,0,0,NA,-Inf
Mindfulness or meditation group:No treatment,Mindfulnessormeditationgroup:Notreatment,1,ok,Model + league + compare succeeded,FALSE,128,0,0,128,0,0,0,NA,-Inf
Exercise group + AD:SSRIs,Exercisegroup+AD:SSRIs,1,ok,Model + league + compare succeeded,FALSE,128,0,0,128,0,0,0,NA,-Inf
Any AD:Yoga group + AD,AnyAD:Yogagroup+AD,1,ok,Model + league + compare succeeded,FALSE,128,0,0,128,0,0,0,NA,-Inf
