studyid,class,n,mean_change,sd_change,source,pooled_sd_study,z_mean_change,z_sd_change,treatment_id
Connolly Gibbons 2012,Any psychotherapy,15,-3.9,6.61183786855062,baseline_followup,6.215104238036169,-0.6275035543462278,1,trt_004
Connolly Gibbons 2012,Short-term psychodynamic psychotherapies individual,16,-6.4,5.82047248941183,baseline_followup,6.215104238036169,-1.0297494225168868,1,trt_043
Connolly Gibbons 2016,Cognitive and cognitive behavioural therapies individual,119,-5.02,5.11862286166895,baseline_followup,5.219353387847393,-0.9618049645169529,1,trt_010
Connolly Gibbons 2016,Short-term psychodynamic psychotherapies individual,118,-4.16,5.31901306634981,baseline_followup,5.219353387847393,-0.7970335960937299,1,trt_043
Cornelius 1997,Counselling individual + AD,25,-6,9.600000000000001,change_from_baseline,11.635703323681586,-0.5156542611213273,1,trt_014
Cornelius 1997,Counselling individual + placebo,26,-2,13.299999999999999,change_from_baseline,11.635703323681586,-0.1718847537071091,1,trt_015
Costa 1998,SNRIs,196,-21.4,7.54453444554401,baseline_followup,7.237248313958473,-2.956924934954331,1,trt_038
Costa 1998,SSRIs,186,-20.6,6.89855057240287,baseline_followup,7.237248313958473,-2.8463856850494964,1,trt_039
De Ronchi 1998,SSRIs,32,-11.38,7.40520762706894,baseline_followup,7.818069119795806,-1.4556023777258733,1,trt_039
De Ronchi 1998,TCAs,33,-12.56,8.19822541773523,baseline_followup,7.818069119795806,-1.6065347859610692,1,trt_046
DeJonghe 2001/Kool 2003,Any AD,20,-9.1,7.88500475586413,baseline_followup,6.869674434008371,-1.3246624839963865,1,trt_003
DeJonghe 2001/Kool 2003,Short-term psychodynamic psychotherapies individual + AD,23,-8.61,5.85272586065672,baseline_followup,6.869674434008371,-1.2533345040888888,1,trt_044
DeNayer 2002,SNRIs,64,-14.4,7.6,change_from_baseline,8.12701495587545,-1.7718682785971096,1,trt_038
DeNayer 2002,SSRIs,67,-10.4,8.6,change_from_baseline,8.12701495587545,-1.2796826456534682,1,trt_039
Demyttenaere 1998,SSRIs,35,-15,5.5380501984001596,baseline_followup,4.939445819117771,-3.0367779198920606,1,trt_039
Demyttenaere 1998,TCAs,31,-16.7,4.15812457725836,baseline_followup,4.939445819117771,-3.380946084146494,1,trt_046
Detke 2004,Placebo,93,-8.8,4.82,change_from_baseline,5.888752883787517,-1.494374135519851,1,trt_031
Detke 2004,SNRIs,186,-23.1,6.816509370638318,change_from_baseline,5.888752883787517,-3.922732105739609,1,trt_038
Detke 2004,SSRIs,85,-11.7,4.61,change_from_baseline,5.888752883787517,-1.9868383392707107,1,trt_039
