comparison,treat1,treat2,TE_direct,seTE_direct,lower_direct,upper_direct,statistic_direct,p_direct,n_direct,Q_direct,tau2_direct,tau_direct,I2_direct,TE_indirect,seTE_indirect,lower_indirect,upper_indirect,statistic_indirect,p_indirect,TE_network,seTE_network,lower_network,upper_network,statistic_network,p_network,TE_difference,seTE_difference,lower_diff,upper_diff,statistic_diff,p_inconsistency,z_score,inconsistent
Exercise group:Placebo,Exercise group,Placebo,-0.15823231426606743,0.6076750124135628,-1.3492534529015807,1.0327888243694456,-0.26038970014185797,0.7945631871049896,NA,0,NA,NA,NA,-1.3186447581103706,0.45715874366239606,-2.2146594309062455,-0.42263008531449586,-2.8844351691633996,0.003921164864885366,-0.8992519244480848,0.36532188717831915,-1.6152696660817951,-0.18323418281437442,-2.4615331191726444,0.01383446242220008,1.160412443844303,0.7604360838484744,-0.33001489304338705,2.6508397807319932,1.5259828781027815,0.127014128640749,1.5259828781027815,no
Exercise group:Problem solving group,Exercise group,Problem solving group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.096078473946715,0.6998190742073576,0.7244582928061312,3.467698655087299,2.9951719682988287,0.002742901523869443,2.096078473946715,0.6998190742073576,0.7244582928061312,3.467698655087299,2.9951719682988287,0.002742901523869443,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group:Problem solving individual,Exercise group,Problem solving individual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0772928401959132,0.4736032751055401,-0.8509525219711603,1.0055382023629869,0.16320165898069197,0.8703596600431156,0.0772928401959132,0.4736032751055401,-0.8509525219711603,1.0055382023629869,0.16320165898069197,0.8703596600431156,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group:Psychoeducation group,Exercise group,Psychoeducation group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4511038306520394,0.7297440015197342,-0.9791681302607818,1.8813757915648606,0.6181672335950547,0.5364651066889146,0.4511038306520394,0.7297440015197342,-0.9791681302607818,1.8813757915648606,0.6181672335950547,0.5364651066889146,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group:Psychoeducation group + AD,Exercise group,Psychoeducation group + AD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4408765988453007,0.6989944036009653,-1.8108804552982471,0.9291272576076457,-0.6307297977981864,0.5282172121707626,-0.4408765988453007,0.6989944036009653,-1.8108804552982471,0.9291272576076457,-0.6307297977981864,0.5282172121707626,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group:Relaxation individual + AD,Exercise group,Relaxation individual + AD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11098925023994077,0.7187066197683306,-1.5196283404363913,1.2976498399565097,-0.1544291470081593,0.8772713733208735,-0.11098925023994077,0.7187066197683306,-1.5196283404363913,1.2976498399565097,-0.1544291470081593,0.8772713733208735,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group:Relaxation individual + placebo,Exercise group,Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7434167518443973,0.7114335660783219,-2.1378009187508047,0.65096741506201,-1.0449559695958377,0.29604331990206145,-0.7434167518443973,0.7114335660783219,-2.1378009187508047,0.65096741506201,-1.0449559695958377,0.29604331990206145,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group:Self-help,Exercise group,Self-help,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.24954238916530036,0.4379141376466695,-1.1078383272736883,0.6087535489430874,-0.5698431900516611,0.5687840589775663,-0.24954238916530036,0.4379141376466695,-1.1078383272736883,0.6087535489430874,-0.5698431900516611,0.5687840589775663,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group:Self-help with support,Exercise group,Self-help with support,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.27027415183115533,0.434568497201819,-1.1220127551624155,0.581464451500105,-0.6219368260042942,0.5339834089342909,-0.27027415183115533,0.434568497201819,-1.1220127551624155,0.581464451500105,-0.6219368260042942,0.5339834089342909,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group:Sham acupuncture,Exercise group,Sham acupuncture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7485985735377447,0.5254801329097168,-1.7785207086321102,0.28132356155662075,-1.4245991934891324,0.15427309331045308,-0.7485985735377447,0.5254801329097168,-1.7785207086321102,0.28132356155662075,-1.4245991934891324,0.15427309331045308,NA,NA,NA,NA,NA,NA,NA,no data
