studyid,class,n,mean_change,sd_change,source
Guelfi 1995,Placebo,47,-4.8,11,change_from_baseline
Guelfi 1995,SNRIs,46,-14.2,9.6,change_from_baseline
Guelfi 2001,Mirtazapine,78,-89.3,6.57585390345705,baseline_followup
Guelfi 2001,SNRIs,79,-85.7,6.83532077998528,baseline_followup
Hamamci 2006,Cognitive and cognitive behavioural therapies group,10,-16.8,7.7338024283013596,baseline_followup
Hamamci 2006,No treatment,11,-6.69,8.9610044079891,baseline_followup
Hamdan-Mansour 2009,No treatment,36,-3.1,8.81532756056177,baseline_followup
Hamdan-Mansour 2009,Psychoeducation group,44,-13.3,7.7698133825723295,baseline_followup
Hao 2014,SNRIs,127,-13.8,6.6,change_from_baseline
Hao 2014,SSRIs,132,-12,7.1,change_from_baseline
Hashemi 2012,SSRIs,48,-16.96,4.96,change_from_baseline
Hashemi 2012,TCAs,49,-13.14,4.68,change_from_baseline
Hatcher 2018,No treatment,22,-7.1,7.5,change_from_baseline
Hatcher 2018,Self-help with support,22,-9.4,6.7,change_from_baseline
Heller 2009,SNRIs,15,-15.07,3.18004716946148,baseline_followup
Heller 2009,SSRIs,14,-14.03,4.26817291121154,baseline_followup
Hemat-Far 2012,Exercise individual,10,-8.4,6.25539766921337,baseline_followup
Hemat-Far 2012,No treatment,10,-1,4.80312398340913,baseline_followup
Hermens 2007,No treatment,96,-56.9,10.5133145201482,baseline_followup
Hermens 2007,SSRIs,85,-57.6,10.2781610451202,baseline_followup
Hersen 1984,Interpersonal psychotherapy (IPT) individual + placebo,22,-12.590000000000002,6.72995542332934,baseline_followup
Hersen 1984,TCAs,14,-17.29,7.38451758749345,baseline_followup
Hewett 2009,Placebo,197,-14.007323334662498,4.77,binary_response_converted
Hewett 2009,SNRIs,187,-14.0073233346625,4.65,binary_response_converted
Hewett 2010,Placebo,186,-13.2,10.64,change_from_baseline
Hewett 2010,SNRIs,193,-17,10.56,change_from_baseline
Hieronymus 2016_PZ/109,Placebo,103,-7.9,6.95413546028548,baseline_followup
Hieronymus 2016_PZ/109,SSRIs,104,-8.7,6.77347768875044,baseline_followup
Higuchi 2009,Placebo,145,-8.3,5.8,change_from_baseline
Higuchi 2009,SNRIs,74,-10,6.4,change_from_baseline
Higuchi 2009,SSRIs,148,-9.4,6.9,change_from_baseline
Higuchi 2011,Placebo,171,-10.4,8.11,change_from_baseline
Higuchi 2011,SSRIs,241,-25.3,10.458537182608284,change_from_baseline
Higuchi 2016,Placebo,182,-12.41,10.12,change_from_baseline
Higuchi 2016,SNRIs,348,-30.35,14.269421852338656,change_from_baseline
Hojatifar 2017,Mindfulness or meditation group,15,-36.8,10.6439278464296,baseline_followup
Hojatifar 2017,No treatment,15,-3,4.53798413395199,baseline_followup
Hollon 1992,Cognitive and cognitive behavioural therapies individual,25,-10.8,8.68849814409832,baseline_followup
Hollon 1992,Cognitive and cognitive behavioural therapies individual + AD,25,-13.2,8.66256313108309,baseline_followup
Hollon 1992,TCAs,57,-9.6,8.66025403784439,baseline_followup
Hong 2003,Mirtazapine,66,-14.0073233346625,5.1,binary_response_converted
Hong 2003,SSRIs,66,-14.0073233346625,5.2,binary_response_converted
Hopko 2003,Behavioural therapies individual + AD,10,-16,11.3767306375777,baseline_followup
Hopko 2003,Counselling individual + AD,15,-6.9,15.516442891333098,baseline_followup
Hoyberg 1996,Mirtazapine,56,-15.3,10.1355808910984,baseline_followup
Hoyberg 1996,TCAs,59,-17.3,8.28673639015988,baseline_followup
Hunter 2011,Placebo,11,-8.64,7.1418975069655,baseline_followup
Hunter 2011,SSRIs,12,-9.67,7.145984886633889,baseline_followup
Husain 2014,Cognitive and cognitive behavioural therapies group,33,-14.0073233346625,4.1,binary_response_converted
Husain 2014,SSRIs,33,-14.0073233346625,3.7,binary_response_converted
Hwang 2004,SNRIs,52,-14.0073233346625,5.8,binary_response_converted
Hwang 2004,SSRIs,53,-14.0073233346625,5.9,binary_response_converted
Jacobson 1996,Behavioural therapies individual,56,-20.2,7.33689307541005,baseline_followup
Jacobson 1996,Cognitive and cognitive behavioural therapies individual,93,-38.199999999999996,11.833849753989611,baseline_followup
Jamison 1995,Self-help,33,-10.6,5.04083326445142,baseline_followup
Jamison 1995,Waitlist,39,-0.600000000000001,4.15812457725836,baseline_followup
Janakiramaiah 2000,TCAs,15,-16.4,7.06186944087754,baseline_followup
Janakiramaiah 2000,Yoga group,15,-16.8,7.76595132614157,baseline_followup
Jefferson 2000,Placebo,101,-12.1,11.05,change_from_baseline
Jefferson 2000,SSRIs,296,-44.1,18.337047199590234,change_from_baseline
Jiahui 2006,Acupuncture,30,-17.66,9.81803951917082,baseline_followup
Jiahui 2006,SSRIs,30,-17.12,10.0426739467136,baseline_followup
Judd 2001,Interpersonal psychotherapy (IPT) individual + AD,12,-23.8,9.88078944214479,baseline_followup
Judd 2001,SNRIs,19,-19.7,11.3582569085225,baseline_followup
Kang 2009,Mirtazapine,73,-12,10.9,change_from_baseline
Kang 2009,SNRIs,53,-10.9,6,change_from_baseline
Kanter 2015,Any psychotherapy,22,-7.99,8.40815675400976,baseline_followup
Kanter 2015,Behavioural therapies individual,21,-10.05,7.957832619501371,baseline_followup
Kasper 2005a,Placebo,180,-14.0073233346625,4.2,binary_response_converted
