studyid,class,n,mean_change,sd_change,source
MIR 003-021 (FDA),Mirtazapine,45,-11.7,7.6,change_from_baseline
MIR 003-021 (FDA),Placebo,48,-9.5,8.9,change_from_baseline
MIR 003-021 (FDA),TCAs,48,-13.6,7.2,change_from_baseline
MY-1042/BRL-029060/CPMS-251,Placebo,123,-8.25,7.56,change_from_baseline
MY-1042/BRL-029060/CPMS-251,SSRIs,120,-10.23,7.67,change_from_baseline
MY-1045/BRL-029060/1 (PAR 128),Placebo,136,-9,8.63,change_from_baseline
MY-1045/BRL-029060/1 (PAR 128),SSRIs,694,-24.8,12.381538676594278,change_from_baseline
Macias-Cortes 2015,Placebo,43,-5.7,3.43947670438397,baseline_followup
Macias-Cortes 2015,SSRIs,46,-8.9,3.37194306001747,baseline_followup
Mahableshwarkar 2013,Placebo,149,-10.5,9.28,change_from_baseline
Mahableshwarkar 2013,SNRIs,149,-13.47,9.15,change_from_baseline
Mahableshwarkar 2015a,Placebo,161,-14.007323334662498,4.18,binary_response_converted
Mahableshwarkar 2015a,SNRIs,152,-14.0073233346625,4.39,binary_response_converted
Maina 2007,Counselling individual + AD,17,-10.06,3.46600043277551,baseline_followup
Maina 2007,Short-term psychodynamic psychotherapies individual + AD,18,-10.84,3.90469883601796,baseline_followup
Marchesi 1998,SSRIs,67,-16.6,6.02328813855024,baseline_followup
Marchesi 1998,TCAs,75,-17.2,6.38513899613783,baseline_followup
Markkula 2019,Counselling individual,124,-14.4,7.84655338349265,baseline_followup
Markkula 2019,No treatment,134,-3.9000000000000004,7.46201045295435,baseline_followup
Marshall 2008,Any AD,30,-13.83,4.69821242601907,baseline_followup
Marshall 2008,Cognitive and cognitive behavioural therapies individual,37,-11.48,4.328128925991,baseline_followup
Marshall 2008,Interpersonal psychotherapy (IPT) individual,35,-10.17,5.65575812778446,baseline_followup
Mathews 2015,Placebo,281,-13.6,10.06,change_from_baseline
Mathews 2015,SSRIs,280,-15.9,10.04,change_from_baseline
McCallum 1975,Placebo,12,-5.5,6.9656299069072,baseline_followup
McCallum 1975,TCAs,12,-12.6,7.10844568101916,baseline_followup
McKnight 1992,Cognitive and cognitive behavioural therapies individual,22,-17.96,8.77571079742262,baseline_followup
McKnight 1992,TCAs,21,-16.64,6.15754009325153,baseline_followup
McNamara 1986,Behavioural therapies individual,10,-20.4,3.82266922450792,baseline_followup
McNamara 1986,Cognitive and cognitive behavioural therapies individual,20,-35.61,6.248247754370821,baseline_followup
Mehtonen 2000,SNRIs,75,-14.0073233346625,3.5,binary_response_converted
Mehtonen 2000,SSRIs,72,-14.0073233346625,4.5,binary_response_converted
Mendels 1993,Placebo,75,-10.53,8.98,change_from_baseline
Mendels 1993,SNRIs,77,-14.800000000000002,9.64,change_from_baseline
Mendels 1999,Placebo,91,-55.15,5.52828493193114,baseline_followup
Mendels 1999,SSRIs,89,-57.22999999999999,5.37796828482576,baseline_followup
Miller 1989a,Placebo,22,-6.2,7.2,change_from_baseline
Miller 1989a,SSRIs,19,-6,5.9,change_from_baseline
Miranda 2003/2006,Any AD,88,-8.1,4.4520893971258,baseline_followup
Miranda 2003/2006,Cognitive and cognitive behavioural therapies group,90,-4.9,4.53679402221437,baseline_followup
Miranda 2003/2006,TAU,89,-4.1,4.53441286166136,baseline_followup
Miura 2000,SSRIs,102,-9.2,11.5,change_from_baseline
Miura 2000,TCAs,114,-10.6,11.1,change_from_baseline
Moak 2003,Cognitive and cognitive behavioural therapies individual + AD,38,-11.6,6.12862137841782,baseline_followup
Moak 2003,Cognitive and cognitive behavioural therapies individual + placebo,44,-10,5.50726792520575,baseline_followup
Mohr 2011,Cognitive and cognitive behavioural therapies individual,41,-5.4,4.92159526982868,baseline_followup
Mohr 2011,No treatment,44,-2.23,4.9971191700819,baseline_followup
Moises 1981,TCAs,20,-14.2,5.86600375042499,baseline_followup
Moises 1981,Trazodone,16,-9,8.4338603260903,baseline_followup
Moller 1993,SSRIs,81,-18.7,7.53193202306022,baseline_followup
Moller 1993,TCAs,74,-20.4,6.35059052372297,baseline_followup
Moller 1998,SSRIs,62,-13.6,9.3,change_from_baseline
Moller 1998,TCAs,59,-16.5,9.4,change_from_baseline
Moller 2000,SSRIs,100,-13.8,7.200000000000001,change_from_baseline
Moller 2000,TCAs,105,-15.3,7.1,change_from_baseline
Montgomery 1992,Placebo,64,-10.56,7.76,change_from_baseline
Montgomery 1992,SSRIs,129,-24.819999999999997,12.515989773086266,change_from_baseline
Montgomery 2004,SNRIs,142,-76.93,6.63997179444869,baseline_followup
Montgomery 2004,SSRIs,146,-75.56,6.3867060418544,baseline_followup
Moradveisi 2013,Behavioural therapies individual,50,-59.55,6.55035257905649,baseline_followup
Moradveisi 2013,SSRIs,50,-57.46,6.65285690870948,baseline_followup
Mowla 2016,SNRIs,26,-9.3,3.47706773014274,baseline_followup
Mowla 2016,SSRIs,28,-9.97,3.56791255498225,baseline_followup
Mullin 1996,Mirtazapine,71,-12.3,7.7,change_from_baseline
Mullin 1996,TCAs,71,-13,7.3,change_from_baseline
Mulsant 1999,SSRIs,29,-11.3,4.22255846614348,baseline_followup
Mulsant 1999,TCAs,27,-13.6,3.53694783676548,baseline_followup
Mundt 2012,Placebo,50,-10.7,6.6,change_from_baseline
Mundt 2012,SSRIs,55,-13.4,5.7,change_from_baseline
Munizza 2006,SSRIs,59,-11.5,8.3,change_from_baseline
Munizza 2006,Trazodone,62,-12.9,9.06,change_from_baseline
Murphy 1984,Cognitive and cognitive behavioural therapies individual,19,-12.05,5.340112358368499,baseline_followup
Murphy 1984,Cognitive and cognitive behavioural therapies individual + AD,18,-13.34,5.63521073252811,baseline_followup
Murphy 1984,Cognitive and cognitive behavioural therapies individual + placebo,17,-15.589999999999998,5.02023903813354,baseline_followup
Murphy 1984,TCAs,16,-12.69,4.38794940718327,baseline_followup
Murri 2015,Exercise group + AD,79,-24.299999999999997,5.43783044972901,baseline_followup
Murri 2015,SSRIs,42,-8.7,5.129327441292861,baseline_followup
Mynors-Wallis 1995,Placebo,26,-6.6,6.3221831672295,baseline_followup
Mynors-Wallis 1995,Problem solving individual,29,-12.3,6.00583050043872,baseline_followup
Mynors-Wallis 1995,TCAs,27,-11,6.2745517768204,baseline_followup
NCT01020799,Placebo,94,-11.45,10.18,change_from_baseline
NCT01020799,SSRIs,49,-11.7,10.99,change_from_baseline
NKD20006 (NCT00048204),Placebo,118,-10.9,7.8,change_from_baseline
NKD20006 (NCT00048204),SSRIs,117,-11.1,7.9,change_from_baseline
Naeem 2014,Self-help,94,-6.799999999999999,3.50428309358705,baseline_followup
Naeem 2014,Waitlist,89,-2.8999999999999995,3.4597687784012394,baseline_followup
Naeem 2015,Cognitive and cognitive behavioural therapies individual,69,-10.9,3.61662826400502,baseline_followup
Naeem 2015,No treatment,68,-7.5,3.7589892258425,baseline_followup
Navarro 2001,SSRIs,29,-71.83000000000001,5.863369624885,baseline_followup
Navarro 2001,TCAs,29,-73.53,5.84083742077874,baseline_followup
Nemeroff 2007,Placebo,102,-14.007323334662502,3.3,binary_response_converted
Nemeroff 2007,SNRIs,102,-14.007323334662502,3.2,binary_response_converted
Nemeroff 2007,SSRIs,104,-14.0073233346625,3.2,binary_response_converted
Nezu 1989,Problem solving group,28,-34.14,6.5951952207648885,baseline_followup
Nezu 1989,Waitlist,11,-2.54,6.73285229304787,baseline_followup
Nierenberg 2007,Placebo,137,-5.97,6.79,change_from_baseline
Nierenberg 2007,SNRIs,273,-7.61,6.94,change_from_baseline
Nierenberg 2007,SSRIs,274,-7.22,6.62,change_from_baseline
Noguera 1991,SSRIs,60,-18.09,4.74361676360981,baseline_followup
Noguera 1991,TCAs,60,-17.94,5.04359990482988,baseline_followup
Nyth 1992,Placebo,45,-6.7,8.4504437753292,baseline_followup
Nyth 1992,SSRIs,88,-13.1,10,baseline_followup
Olie 1997,Placebo,129,-66.6,6.70459854546437,baseline_followup
Olie 1997,SSRIs,129,-70.1,6.142599478392,baseline_followup
Owens 2008,SNRIs,41,-17.3,8.99,change_from_baseline
Owens 2008,SSRIs,40,-16.7,8.59,change_from_baseline
Ozdemir 2015,Light therapy + AD,25,-24.16,5.34422117805766,baseline_followup
Ozdemir 2015,SNRIs,25,-21.88,6.21505430386574,baseline_followup
PAR 01 001 (GSK & FDA),Placebo,21,-11.33,7.93,change_from_baseline
PAR 01 001 (GSK & FDA),SSRIs,22,-13.359999999999998,7.93,change_from_baseline
Paslakis 2010,Mirtazapine,37,-13.1,4.4226688774992,baseline_followup
Paslakis 2010,SNRIs,33,-13.9,6.47147587494537,baseline_followup
Perahia 2006,Placebo,99,-51.3,5.63294671249698,baseline_followup
Perahia 2006,SNRIs,196,-108.1,8.012327979036911,baseline_followup
Perahia 2006,SSRIs,97,-52.1,5.47726438379317,baseline_followup
Philipp 1999,Placebo,46,-12.1,7.4,change_from_baseline
Philipp 1999,TCAs,105,-14.2,7.3,change_from_baseline
Preskorn 1991,SSRIs,29,-10.1,7.8,change_from_baseline
Preskorn 1991,TCAs,31,-7.9,6.1,change_from_baseline
Qu 2013,Acupuncture + AD,100,-29.8,8.5,change_from_baseline
Qu 2013,SSRIs,43,-11.3,4.6,change_from_baseline
Quah-Smith 2005,Acupuncture,14,-16.1,4.07,change_from_baseline
Quah-Smith 2005,Sham acupuncture,12,-6.8,7.71,change_from_baseline
Quah-Smith 2013,Acupuncture,25,-11.74,5.67733211993098,baseline_followup
Quah-Smith 2013,Sham acupuncture,22,-6.91,4.32711220099502,baseline_followup
Quilty 2014,Any AD,50,-8.23,5.74185510092339,baseline_followup
Quilty 2014,Cognitive and cognitive behavioural therapies individual,54,-8.77,5.7576818251793,baseline_followup
Rapaport 2009,Placebo,178,-8.85,8,change_from_baseline
Rapaport 2009,SSRIs,173,-12.109999999999998,8.02,change_from_baseline
Raskin 2007,Placebo,104,-41.519999999999996,6.08313408589087,baseline_followup
Raskin 2007,SNRIs,207,-44.09,6.26343998948569,baseline_followup
Ratti 2011_study 096,Placebo,123,-14.0073233346625,5.9,binary_response_converted
Ratti 2011_study 096,SSRIs,113,-14.0073233346625,5.5,binary_response_converted
Reimherr 1990,Placebo,141,-8.16,7.85,change_from_baseline
Reimherr 1990,SSRIs,142,-11.66,8.24,change_from_baseline
Reimherr 1990,TCAs,144,-12.64,7.97,change_from_baseline
Richou 1995,Mirtazapine,87,-14.0073233346625,5.7,binary_response_converted
Richou 1995,TCAs,87,-14.0073233346625,5.4,binary_response_converted
Rickels 1992,Placebo,56,-14.0073233346625,5.46,binary_response_converted
Rickels 1992,SSRIs,55,-14.0073233346625,5.71,binary_response_converted
Rickels 1994,Placebo,95,-14.0073233346625,2.14,binary_response_converted
Rickels 1994,TCAs,92,-14.0073233346625,2.01,binary_response_converted
Rickhi 2011,Self-help,39,-8.5,4.52118347338393,baseline_followup
Rickhi 2011,Waitlist,45,-2.3,4.87670995651782,baseline_followup
Robinson 2014,Placebo,95,-7.15,7.51,change_from_baseline
Robinson 2014,SNRIs,201,-7.42,7.37,change_from_baseline
Roose 2004,Placebo,90,-14.0073233346625,3.8999999999999995,binary_response_converted
Roose 2004,SSRIs,84,-14.007323334662502,4.3,binary_response_converted
Ropert 1989,SSRIs,54,-18.2,6.72011904656458,baseline_followup
Ropert 1989,TCAs,46,-16.6,7,baseline_followup
Roy 2018,Exercise group,20,-4.3,4.88076838213001,baseline_followup
Roy 2018,No treatment,20,-2.7,3.74737241277138,baseline_followup
Rush 1977/Kovacs 1981,Cognitive and cognitive behavioural therapies individual,19,-22.95,7.252833928886,baseline_followup
Rush 1977/Kovacs 1981,TCAs,22,-12.640000000000002,10.7995972147113,baseline_followup
SER 315 (FDA),Placebo,73,-7.8,8,change_from_baseline
SER 315 (FDA),SSRIs,76,-8.9,4.52,change_from_baseline
SER 315 (FDA),TCAs,70,-11.6,11.49,change_from_baseline
Sahranavard 2018,Cognitive and cognitive behavioural therapies group,10,-16.3,2.62615688792578,baseline_followup
Sahranavard 2018,Cognitive and cognitive behavioural therapies individual,10,-17.7,2.45293701509028,baseline_followup
Sahranavard 2018,Waitlist,10,-4.4,3.66382313983631,baseline_followup
Salminen 2008,SSRIs,25,-11.2,4.6,change_from_baseline
Salminen 2008,Short-term psychodynamic psychotherapies individual,26,-11,6.44,change_from_baseline
Saloheimo 2016,Any AD,34,-11.1,6.4,change_from_baseline
Saloheimo 2016,Interpersonal psychotherapy (IPT) individual + AD,38,-9.1,6.4,change_from_baseline
Saloheimo 2016,Psychoeducation group + AD,27,-8.3,6.300000000000001,change_from_baseline
Samuelian 1998,SNRIs,52,-15.2,11.1432715124419,baseline_followup
Samuelian 1998,TCAs,46,-16.3,11.1768555506457,baseline_followup
Sauer 2003,SNRIs,76,-10.5,5.8,change_from_baseline
Sauer 2003,TCAs,75,-10.37,6.49,change_from_baseline
Schatzberg 2002,Mirtazapine,128,-14.0073233346625,3.5,binary_response_converted
Schatzberg 2002,SSRIs,126,-14.0073233346625,3.5,binary_response_converted
Schmidt 1983,Cognitive and cognitive behavioural therapies group,22,-24.4,10.56882207249228,baseline_followup
Schmidt 1983,Self-help,12,-15.300000000000002,7.15821206726931,baseline_followup
Schmidt 1983,Self-help with support,12,-16.4,7.13932769944061,baseline_followup
Schmidt 1983,Waitlist,10,-4.3,8.24863625092051,baseline_followup
Schweizer 1991,Placebo,16,-68.2,5.28250338650517,baseline_followup
Schweizer 1991,SNRIs,44,-241.2,10.960796089422223,baseline_followup
Schweizer 1994,Placebo,78,-10.2,9.6,change_from_baseline
Schweizer 1994,SNRIs,64,-15.6,9.8,change_from_baseline
Schweizer 1994,TCAs,71,-13.1,8.9,change_from_baseline
Schweizer 1998,Placebo,60,-56.3,5.90878737912617,baseline_followup
Schweizer 1998,TCAs,60,-60.6,5.79613322668195,baseline_followup
Scott 1992,Cognitive and cognitive behavioural therapies individual,29,-11.6,5.78186821018951,baseline_followup
Scott 1992,TAU,29,-11.3,6.7014923711066,baseline_followup
Scott 1992,TCAs,26,-10.2,7.7272245987806,baseline_followup
Serrano-Blanco 2006,SSRIs,49,-12.7,8.68504461704141,baseline_followup
Serrano-Blanco 2006,TCAs,45,-12.9,8.74299719775776,baseline_followup
Sharma 2005,Any AD,15,-7.94,4.12712975323045,baseline_followup
Sharma 2005,Yoga group + AD,15,-13,4.36003440353399,baseline_followup
Sheehan 2009a,Placebo,204,-9.3,7.9,change_from_baseline
Sheehan 2009a,Trazodone,202,-11.4,8.2,change_from_baseline
Sheehan 2009b,Placebo,95,-11.019999999999998,8.01588423070094,baseline_followup
Sheehan 2009b,SNRIs,95,-14.3,8.54921633835523,baseline_followup
Sheehan 2009b,SSRIs,99,-11.42,7.71239910793004,baseline_followup
Shelton 2006,SNRIs,78,-12.7,5.550675634551169,baseline_followup
Shelton 2006,SSRIs,82,-11.3,5.55067563455117,baseline_followup
Silverstone 1994,Placebo,69,-10.6,4.34,change_from_baseline
Silverstone 1994,TCAs,66,-11.8,4.25,change_from_baseline
Singh 2005,Exercise group,35,-16.6,7.754998388136518,baseline_followup
Singh 2005,TAU,19,-5.3,5.27351874937408,baseline_followup
Sir 2005,SNRIs,79,-14.3,8.35,change_from_baseline
Sir 2005,SSRIs,79,-15.900000000000002,8.44,change_from_baseline
Smeraldi 1998b,SNRIs,55,-15.1,9.267685795278128,baseline_followup
Smeraldi 1998b,TCAs,58,-15.9,10.4732993846256,baseline_followup
Smeraldi 1998b,Trazodone,57,-10.1,11.0077245605075,baseline_followup
Sneed 2014,SSRIs,58,-11.68,6.46177230187738,baseline_followup
Sneed 2014,TCAs,52,-13.360000000000001,7.16326564571663,baseline_followup
Solati 2016,Any AD,20,-5.56,4.21231527784899,baseline_followup
Solati 2016,Cognitive and cognitive behavioural therapies group + AD,20,-8.72000000000001,3.4746078915469,baseline_followup
Spring 1992,Placebo,15,-11.7,9,change_from_baseline
Spring 1992,TCAs,10,-16.7,6,change_from_baseline
Sramek 1995,Placebo,70,-6.4,6.7,change_from_baseline
Sramek 1995,SSRIs,72,-8.6,6.3,change_from_baseline
Staner 1995,SSRIs,21,-8.2,9.78723658649366,baseline_followup
Staner 1995,TCAs,19,-13.3,6.84178339323893,baseline_followup
Stark 1985,Placebo,169,-8.2,9,change_from_baseline
Stark 1985,SSRIs,185,-11,10.1,change_from_baseline
Stark 1985,TCAs,185,-12,10.1,change_from_baseline
Study 62b (FDA),Placebo,48,-5.69,8.65,change_from_baseline
Study 62b (FDA),SSRIs,200,-16.98,12.380702726420662,change_from_baseline
Study 89306 (FDA),Placebo,88,-15.95,13.22,change_from_baseline
Study 89306 (FDA),SSRIs,185,-33.98,18.70104275167564,change_from_baseline
Study F1J-MC-HMAQ - Study Group B,Placebo,72,-7.1,6.96,change_from_baseline
Study F1J-MC-HMAQ - Study Group B,SNRIs,81,-8,6.75,change_from_baseline
Study F1J-MC-HMAQ - Study Group B,SSRIs,37,-7.63,7,change_from_baseline
Suleman 1997,SSRIs,15,-18.2,2.36431808350738,baseline_followup
Suleman 1997,TCAs,15,-15.9,3.14801524773944,baseline_followup
Sun 2013,Acupuncture,36,-27.220000000000002,4.19232632317667,baseline_followup
Sun 2013,SSRIs,25,-11.2,4.00977555481601,baseline_followup
Thase 2018,Cognitive and cognitive behavioural therapies individual,77,-10.4,5.49454274712646,baseline_followup
Thase 2018,Self-help with support,77,-10.9,4.9,baseline_followup
Tollefson 1993/1995,Placebo,329,-6.3999999999999995,7.1,change_from_baseline
Tollefson 1993/1995,SSRIs,326,-8.1,7.6,change_from_baseline
Tollefson 1994,SSRIs,62,-10,6.7,change_from_baseline
Tollefson 1994,TCAs,60,-9.1,8,change_from_baseline
Tong 2020,Any AD,45,-16.66,4.41674087987964,baseline_followup
Tong 2020,Cognitive and cognitive behavioural therapies group + AD,43,-19.04,4.53523979520378,baseline_followup
Tsutsui 2000,SSRIs,106,-12.1,9.2,change_from_baseline
Tsutsui 2000,Trazodone,105,-9.7,9.2,change_from_baseline
Tylee 1997,SNRIs,171,-71.2,6.57585390345705,baseline_followup
Tylee 1997,SSRIs,170,-75.5,6.51225990278757,baseline_followup
Tzanakaki 2000,SNRIs,55,-14.0073233346625,5.6,binary_response_converted
Tzanakaki 2000,SSRIs,54,-14.0073233346625,5.6,binary_response_converted
Umadevi 2013,Waitlist,23,-2.31,5.08008858190485,baseline_followup
Umadevi 2013,Yoga group,20,-10.55,4.1755119446602,baseline_followup
VEN 600A-303 (FDA),Placebo,79,-9.89,8.45,change_from_baseline
VEN 600A-303 (FDA),SNRIs,69,-10.14,8.45,change_from_baseline
VEN 600A-313 (FDA),Placebo,75,-9.49,8.2,change_from_baseline
VEN 600A-313 (FDA),SNRIs,149,-22.75,11.807192723081977,change_from_baseline
VEN XR 367 (FDA),Placebo,81,-13.1,10.63,change_from_baseline
VEN XR 367 (FDA),SNRIs,75,-14.63,10.619999999999997,change_from_baseline
VEN XR 367 (FDA),SSRIs,80,-11.26,10.55,change_from_baseline
Valle-Cabrera 2018,Placebo,38,-14.0073233346625,2.8,binary_response_converted
Valle-Cabrera 2018,SSRIs,39,-14.0073233346625,2.3,binary_response_converted
Van Moffaert 1995b,Mirtazapine,100,-14.007323334662498,4.900000000000001,binary_response_converted
Van Moffaert 1995b,Trazodone,100,-14.007323334662498,5.1,binary_response_converted
Versiani 1989,Placebo,162,-14.007323334662498,5,binary_response_converted
Versiani 1989,TCAs,164,-14.007323334662498,5.1000000000000005,binary_response_converted
Versiani 1999,SSRIs,77,-16.6,7.3,change_from_baseline
Versiani 1999,TCAs,79,-18.1,7.5,change_from_baseline
Versiani 2005,Mirtazapine,145,-94.3,7.03487050906253,baseline_followup
Versiani 2005,SSRIs,147,-90.9,7.03487050906253,baseline_followup
WELL AK1A4006,Placebo,148,-12.2,9.73,change_from_baseline
WELL AK1A4006,SSRIs,146,-13.9,10.87,change_from_baseline
Wade 2002,Placebo,189,-12,7.9265377057073305,baseline_followup
Wade 2002,SSRIs,188,-14.900000000000002,7.888599368709249,baseline_followup
Wade 2007,SNRIs,146,-21.52,6.02433047028623,baseline_followup
Wade 2007,SSRIs,141,-23.61,5.96620819925158,baseline_followup
Wang 2013,Acupuncture,24,-10.949999999999998,6.08092920531065,baseline_followup
Wang 2013,SSRIs,24,-11.42,7.53442764913168,baseline_followup
Wang 2014a,Acupuncture + AD,45,-15.85,3.71140135258907,baseline_followup
Wang 2014a,SSRIs,26,-13.870000000000001,1.7359147444503098,baseline_followup
Wang 2014c,Placebo,153,-78.81,6.63997179444869,baseline_followup
Wang 2014c,SSRIs,152,-80.73,6.76971958310813,baseline_followup
Ward 2000/King 2000,Cognitive and cognitive behavioural therapies individual,63,-13.3,9.82242332624694,baseline_followup
Ward 2000/King 2000,Counselling individual,67,-12.5,8.97050723203543,baseline_followup
Ward 2000/King 2000,TAU,67,-8.2,11.0729399890002,baseline_followup
Wernicke 1987,Placebo,48,-5.7,8.6,change_from_baseline
Wernicke 1987,SSRIs,297,-26.6,14.909728367747011,change_from_baseline
Wernicke 1988,Placebo,77,-7,8.6,change_from_baseline
Wernicke 1988,SSRIs,183,-21.2,11.73882447266335,change_from_baseline
Wheatley 1998,Mirtazapine,60,-66.2,6.02433047028623,baseline_followup
Wheatley 1998,SSRIs,63,-62.5,5.96620819925158,baseline_followup
White 1984,Placebo,45,-17,8.8,change_from_baseline
White 1984,TCAs,40,-11.7,8.2,change_from_baseline
Wilson 1982,Behavioural therapies individual + AD,12,-13.660000000000002,8.63218975695043,baseline_followup
Wilson 1982,Placebo,12,-10.33,9.63249188943339,baseline_followup
Wilson 1982,Relaxation individual + AD,10,-14.6,5.5094555084872,baseline_followup
Wilson 1982,Relaxation individual + placebo,11,-9.27,9.00007222193244,baseline_followup
Wilson 1982,TCAs,10,-11.2,8.43028469270167,baseline_followup
Wright 2005,Cognitive and cognitive behavioural therapies individual,15,-8.3,6.6,change_from_baseline
Wright 2005,Self-help with support,15,-7.5,6.3,change_from_baseline
Wright 2005,Waitlist,15,-1.9,5.5,change_from_baseline
Zhang 2007a,Acupuncture + AD,22,-22,5.28488410468952,baseline_followup
Zhang 2007a,SSRIs,20,-18.6,5.16430053347014,baseline_followup
Zhang 2014,Placebo,180,-8.29,6.5,change_from_baseline
Zhang 2014,Trazodone,183,-11.07,6.5,change_from_baseline
Zhang 2019,Mirtazapine,79,-15.900000000000002,2.06639783197718,baseline_followup
Zhang 2019,SSRIs,79,-14.8,2.16564078277077,baseline_followup
Zhao 2006,SSRIs,58,-20.7,9.5,change_from_baseline
Zhao 2006,Trazodone,55,-15.4,11.1,change_from_baseline
Zhao 2019a,Acupuncture + AD,321,-30.38,7.465500653003792,baseline_followup
Zhao 2019a,SSRIs,156,-12.88,5.34680278297227,baseline_followup
Zivkov 1995,Mirtazapine,113,-15.2,8.74814266001647,baseline_followup
Zivkov 1995,TCAs,111,-15.6,8.66256313108309,baseline_followup
Zu 2014,Cognitive and cognitive behavioural therapies individual,12,-9.6,2.4,change_from_baseline
Zu 2014,Cognitive and cognitive behavioural therapies individual + AD,43,-9.8,4.7,change_from_baseline
Zu 2014,SSRIs,25,-6.9,6.799999999999999,change_from_baseline
Zu 2014,TAU,16,-7.8,7,change_from_baseline
