treat;TE_base;lower_base;upper_base;TE_drop;lower_drop;upper_drop;removed_treatment;component_id;component_reference;delta_TE;abs_delta_TE;pct_shift_vs_base;estimable;ci_overlap
Exercise individual;-0,7556;-1,4550;-0,0562;-0,7556;-1,4550;-0,0562;Light therapy;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Exercise individual + AD;-1,4503;-2,3661;-0,5345;-1,4503;-2,3661;-0,5345;Light therapy;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual;-0,5561;-1,1991;0,0869;-0,5561;-1,1991;0,0869;Light therapy;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + AD;-0,8108;-1,5611;-0,0605;-0,8108;-1,5611;-0,0605;Light therapy;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + placebo;-0,5149;-1,3638;0,3340;-0,5149;-1,3638;0,3340;Light therapy;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Light therapy + AD;-1,2062;-2,0280;-0,3844;-1,2062;-2,0280;-0,3844;Light therapy;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Mindfulness or meditation group;-4,2459;-6,0031;-2,4886;-4,2459;-6,0031;-2,4886;Light therapy;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Mirtazapine;-0,6954;-0,9513;-0,4395;-0,6954;-0,9513;-0,4395;Light therapy;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Music therapy group;-0,7770;-2,2462;0,6922;-0,7770;-2,2462;0,6922;Light therapy;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
No treatment;-0,1148;-0,5823;0,3527;-0,1148;-0,5823;0,3527;Light therapy;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Peer support group;-1,3571;-2,6719;-0,0423;-1,3571;-2,6719;-0,0423;Light therapy;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Peer support group + AD;-1,4781;-2,7913;-0,1649;-1,4781;-2,7913;-0,1649;Light therapy;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Placebo;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;Light therapy;1;Placebo;0,0000;0,0000;NA;TRUE;TRUE
Problem solving group;-2,9953;-4,1991;-1,7915;-2,9953;-4,1991;-1,7915;Light therapy;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Problem solving individual;-0,9765;-1,6284;-0,3247;-0,9765;-1,6284;-0,3247;Light therapy;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Psychoeducation group;-1,3504;-2,6595;-0,0412;-1,3504;-2,6595;-0,0412;Light therapy;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Psychoeducation group + AD;-0,4584;-1,6559;0,7392;-0,4584;-1,6559;0,7392;Light therapy;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Relaxation individual + AD;-0,7883;-2,0071;0,4306;-0,7883;-2,0071;0,4306;Light therapy;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Relaxation individual + placebo;-0,1558;-1,3582;1,0465;-0,1558;-1,3582;1,0465;Light therapy;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Self-help;-0,6497;-1,2124;-0,0870;-0,6497;-1,2124;-0,0870;Light therapy;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Self-help with support;-0,6290;-1,1818;-0,0762;-0,6290;-1,1818;-0,0762;Light therapy;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Sham acupuncture;-0,1507;-0,9170;0,6157;-0,1507;-0,9170;0,6157;Light therapy;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Short-term psychodynamic psychotherapies individual;-0,7098;-1,3789;-0,0406;-0,7098;-1,3789;-0,0406;Light therapy;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Short-term psychodynamic psychotherapies individual + AD;-0,5020;-1,6798;0,6758;-0,5020;-1,6798;0,6758;Light therapy;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
SNRIs;-0,7113;-0,8632;-0,5595;-0,7113;-0,8632;-0,5595;Light therapy;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
SSRIs;-0,5218;-0,6325;-0,4111;-0,5218;-0,6325;-0,4111;Light therapy;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
TAU;-0,3454;-0,8923;0,2016;-0,3454;-0,8923;0,2016;Light therapy;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
TCAs;-0,6273;-0,7817;-0,4729;-0,6273;-0,7817;-0,4729;Light therapy;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Trazodone;-0,4002;-0,7486;-0,0517;-0,4002;-0,7486;-0,0517;Light therapy;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Waitlist;0,6737;0,1761;1,1713;0,6737;0,1761;1,1713;Light therapy;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Yoga group;-0,8845;-1,8640;0,0951;-0,8845;-1,8640;0,0951;Light therapy;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Yoga group + AD;-1,8580;-3,3190;-0,3970;-1,8580;-3,3190;-0,3970;Light therapy;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Acupuncture;-0,9163;-1,4419;-0,3906;-0,9163;-1,4422;-0,3904;Light therapy + AD;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Acupuncture + AD;-1,7488;-2,2550;-1,2426;-1,7488;-2,2553;-1,2423;Light therapy + AD;1;Placebo;0,0001;0,0001;0,0000;TRUE;TRUE
Any AD;-0,6661;-1,1825;-0,1496;-0,6657;-1,1824;-0,1490;Light therapy + AD;1;Placebo;0,0004;0,0004;0,0005;TRUE;TRUE
Any psychotherapy;0,1486;-0,9207;1,2178;0,1487;-0,9210;1,2185;Light therapy + AD;1;Placebo;0,0002;0,0002;0,0011;TRUE;TRUE
Attention placebo;0,5718;-0,4354;1,5789;0,5719;-0,4358;1,5795;Light therapy + AD;1;Placebo;0,0001;0,0001;0,0002;TRUE;TRUE
Behavioural therapies individual;0,3156;-0,4066;1,0379;0,3159;-0,4068;1,0385;Light therapy + AD;1;Placebo;0,0002;0,0002;0,0007;TRUE;TRUE
Behavioural therapies individual + AD;-0,7311;-1,8053;0,3431;-0,7310;-1,8056;0,3436;Light therapy + AD;1;Placebo;0,0001;0,0001;0,0002;TRUE;TRUE
Cognitive and cognitive behavioural therapies group;-0,9528;-1,5432;-0,3624;-0,9528;-1,5434;-0,3621;Light therapy + AD;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Cognitive and cognitive behavioural therapies group + AD;-1,3304;-2,3521;-0,3087;-1,3300;-2,3522;-0,3078;Light therapy + AD;1;Placebo;0,0004;0,0004;0,0003;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual;-0,8540;-1,1770;-0,5311;-0,8539;-1,1770;-0,5308;Light therapy + AD;1;Placebo;0,0001;0,0001;0,0002;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + AD;-1,3372;-1,8771;-0,7973;-1,3372;-1,8774;-0,7971;Light therapy + AD;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + placebo;-1,3101;-2,1924;-0,4278;-1,3101;-2,1928;-0,4274;Light therapy + AD;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Counselling individual;-0,6775;-1,2871;-0,0679;-0,6773;-1,2872;-0,0674;Light therapy + AD;1;Placebo;0,0002;0,0002;0,0002;TRUE;TRUE
Counselling individual + AD;-0,1937;-1,5170;1,1296;-0,1935;-1,5173;1,1304;Light therapy + AD;1;Placebo;0,0002;0,0002;0,0011;TRUE;TRUE
Counselling individual + placebo;0,1501;-1,6724;1,9726;0,1503;-1,6730;1,9736;Light therapy + AD;1;Placebo;0,0002;0,0002;0,0015;TRUE;TRUE
Exercise group;-0,8993;-1,6153;-0,1832;-0,8992;-1,6156;-0,1828;Light therapy + AD;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Exercise group + AD;-3,4467;-4,6928;-2,2006;-3,4467;-4,6934;-2,2000;Light therapy + AD;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Exercise individual;-0,7556;-1,4550;-0,0562;-0,7556;-1,4553;-0,0559;Light therapy + AD;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Exercise individual + AD;-1,4503;-2,3661;-0,5345;-1,4502;-2,3663;-0,5340;Light therapy + AD;1;Placebo;0,0001;0,0001;0,0001;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual;-0,5561;-1,1991;0,0869;-0,5558;-1,1991;0,0875;Light therapy + AD;1;Placebo;0,0003;0,0003;0,0005;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + AD;-0,8108;-1,5611;-0,0605;-0,8103;-1,5610;-0,0596;Light therapy + AD;1;Placebo;0,0005;0,0005;0,0007;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + placebo;-0,5149;-1,3638;0,3340;-0,5145;-1,3638;0,3348;Light therapy + AD;1;Placebo;0,0003;0,0003;0,0006;TRUE;TRUE
Light therapy;-0,8700;-1,9121;0,1721;-0,8950;-1,9637;0,1736;Light therapy + AD;1;Placebo;-0,0250;0,0250;0,0288;TRUE;TRUE
Mindfulness or meditation group;-4,2459;-6,0031;-2,4886;-4,2458;-6,0035;-2,4880;Light therapy + AD;1;Placebo;0,0001;0,0001;0,0000;TRUE;TRUE
Mirtazapine;-0,6954;-0,9513;-0,4395;-0,6952;-0,9512;-0,4392;Light therapy + AD;1;Placebo;0,0002;0,0002;0,0003;TRUE;TRUE
Music therapy group;-0,7770;-2,2462;0,6922;-0,7769;-2,2467;0,6929;Light therapy + AD;1;Placebo;0,0001;0,0001;0,0001;TRUE;TRUE
No treatment;-0,1148;-0,5823;0,3527;-0,1147;-0,5825;0,3531;Light therapy + AD;1;Placebo;0,0001;0,0001;0,0009;TRUE;TRUE
Peer support group;-1,3571;-2,6719;-0,0423;-1,3568;-2,6723;-0,0413;Light therapy + AD;1;Placebo;0,0004;0,0004;0,0003;TRUE;TRUE
Peer support group + AD;-1,4781;-2,7913;-0,1649;-1,4777;-2,7916;-0,1638;Light therapy + AD;1;Placebo;0,0004;0,0004;0,0002;TRUE;TRUE
Placebo;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;Light therapy + AD;1;Placebo;0,0000;0,0000;NA;TRUE;TRUE
Problem solving group;-2,9953;-4,1991;-1,7915;-2,9952;-4,1994;-1,7910;Light therapy + AD;1;Placebo;0,0002;0,0002;0,0001;TRUE;TRUE
Problem solving individual;-0,9765;-1,6284;-0,3247;-0,9764;-1,6286;-0,3243;Light therapy + AD;1;Placebo;0,0001;0,0001;0,0001;TRUE;TRUE
Psychoeducation group;-1,3504;-2,6595;-0,0412;-1,3503;-2,6601;-0,0405;Light therapy + AD;1;Placebo;0,0001;0,0001;0,0001;TRUE;TRUE
Psychoeducation group + AD;-0,4584;-1,6559;0,7392;-0,4579;-1,6561;0,7402;Light therapy + AD;1;Placebo;0,0005;0,0005;0,0010;TRUE;TRUE
Relaxation individual + AD;-0,7883;-2,0071;0,4306;-0,7882;-2,0075;0,4312;Light therapy + AD;1;Placebo;0,0001;0,0001;0,0001;TRUE;TRUE
Relaxation individual + placebo;-0,1558;-1,3582;1,0465;-0,1558;-1,3586;1,0471;Light therapy + AD;1;Placebo;0,0001;0,0001;0,0005;TRUE;TRUE
Self-help;-0,6497;-1,2124;-0,0870;-0,6495;-1,2125;-0,0866;Light therapy + AD;1;Placebo;0,0002;0,0002;0,0003;TRUE;TRUE
Self-help with support;-0,6290;-1,1818;-0,0762;-0,6288;-1,1819;-0,0757;Light therapy + AD;1;Placebo;0,0002;0,0002;0,0003;TRUE;TRUE
Sham acupuncture;-0,1507;-0,9170;0,6157;-0,1506;-0,9173;0,6161;Light therapy + AD;1;Placebo;0,0000;0,0000;0,0003;TRUE;TRUE
Short-term psychodynamic psychotherapies individual;-0,7098;-1,3789;-0,0406;-0,7096;-1,3791;-0,0401;Light therapy + AD;1;Placebo;0,0002;0,0002;0,0002;TRUE;TRUE
Short-term psychodynamic psychotherapies individual + AD;-0,5020;-1,6798;0,6758;-0,5017;-1,6800;0,6766;Light therapy + AD;1;Placebo;0,0003;0,0003;0,0006;TRUE;TRUE
SNRIs;-0,7113;-0,8632;-0,5595;-0,7101;-0,8625;-0,5577;Light therapy + AD;1;Placebo;0,0012;0,0012;0,0017;TRUE;TRUE
SSRIs;-0,5218;-0,6325;-0,4111;-0,5218;-0,6326;-0,4110;Light therapy + AD;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
TAU;-0,3454;-0,8923;0,2016;-0,3452;-0,8924;0,2020;Light therapy + AD;1;Placebo;0,0001;0,0001;0,0004;TRUE;TRUE
TCAs;-0,6273;-0,7817;-0,4729;-0,6272;-0,7817;-0,4727;Light therapy + AD;1;Placebo;0,0001;0,0001;0,0002;TRUE;TRUE
Trazodone;-0,4002;-0,7486;-0,0517;-0,3999;-0,7486;-0,0513;Light therapy + AD;1;Placebo;0,0002;0,0002;0,0005;TRUE;TRUE
Waitlist;0,6737;0,1761;1,1713;0,6740;0,1761;1,1718;Light therapy + AD;1;Placebo;0,0003;0,0003;0,0004;TRUE;TRUE
Yoga group;-0,8845;-1,8640;0,0951;-0,8843;-1,8642;0,0957;Light therapy + AD;1;Placebo;0,0002;0,0002;0,0002;TRUE;TRUE
Yoga group + AD;-1,8580;-3,3190;-0,3970;-1,8576;-3,3192;-0,3960;Light therapy + AD;1;Placebo;0,0004;0,0004;0,0002;TRUE;TRUE
Acupuncture;-0,9163;-1,4419;-0,3906;-0,9163;-1,4419;-0,3906;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Acupuncture + AD;-1,7488;-2,2550;-1,2426;-1,7488;-2,2550;-1,2426;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Any AD;-0,6661;-1,1825;-0,1496;-0,6661;-1,1825;-0,1496;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Any psychotherapy;0,1486;-0,9207;1,2178;0,1486;-0,9207;1,2178;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Attention placebo;0,5718;-0,4354;1,5789;0,5718;-0,4354;1,5789;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Behavioural therapies individual;0,3156;-0,4066;1,0379;0,3156;-0,4066;1,0379;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Behavioural therapies individual + AD;-0,7311;-1,8053;0,3431;-0,7311;-1,8053;0,3431;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Cognitive and cognitive behavioural therapies group;-0,9528;-1,5432;-0,3624;-0,9528;-1,5432;-0,3624;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Cognitive and cognitive behavioural therapies group + AD;-1,3304;-2,3521;-0,3087;-1,3304;-2,3521;-0,3087;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual;-0,8540;-1,1770;-0,5311;-0,8540;-1,1770;-0,5311;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + AD;-1,3372;-1,8771;-0,7973;-1,3372;-1,8771;-0,7973;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + placebo;-1,3101;-2,1924;-0,4278;-1,3101;-2,1924;-0,4278;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Counselling individual;-0,6775;-1,2871;-0,0679;-0,6775;-1,2871;-0,0679;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Counselling individual + AD;-0,1937;-1,5170;1,1296;-0,1937;-1,5170;1,1296;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Counselling individual + placebo;0,1501;-1,6724;1,9726;0,1501;-1,6724;1,9726;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Exercise group;-0,8993;-1,6153;-0,1832;-0,8993;-1,6153;-0,1832;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Exercise group + AD;-3,4467;-4,6928;-2,2006;-3,4467;-4,6928;-2,2006;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Exercise individual;-0,7556;-1,4550;-0,0562;-0,7556;-1,4550;-0,0562;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Exercise individual + AD;-1,4503;-2,3661;-0,5345;-1,4503;-2,3661;-0,5345;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual;-0,5561;-1,1991;0,0869;-0,5561;-1,1991;0,0869;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + AD;-0,8108;-1,5611;-0,0605;-0,8108;-1,5611;-0,0605;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + placebo;-0,5149;-1,3638;0,3340;-0,5149;-1,3638;0,3340;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Light therapy;-0,8700;-1,9121;0,1721;-0,8700;-1,9121;0,1721;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Light therapy + AD;-1,2062;-2,0280;-0,3844;-1,2062;-2,0280;-0,3844;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Mirtazapine;-0,6954;-0,9513;-0,4395;-0,6954;-0,9513;-0,4395;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Music therapy group;-0,7770;-2,2462;0,6922;-0,7770;-2,2462;0,6922;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
No treatment;-0,1148;-0,5823;0,3527;-0,1148;-0,5823;0,3527;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Peer support group;-1,3571;-2,6719;-0,0423;-1,3571;-2,6719;-0,0423;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Peer support group + AD;-1,4781;-2,7913;-0,1649;-1,4781;-2,7913;-0,1649;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Placebo;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;NA;TRUE;TRUE
Problem solving group;-2,9953;-4,1991;-1,7915;-2,9953;-4,1991;-1,7915;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Problem solving individual;-0,9765;-1,6284;-0,3247;-0,9765;-1,6284;-0,3247;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Psychoeducation group;-1,3504;-2,6595;-0,0412;-1,3504;-2,6595;-0,0412;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Psychoeducation group + AD;-0,4584;-1,6559;0,7392;-0,4584;-1,6559;0,7392;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Relaxation individual + AD;-0,7883;-2,0071;0,4306;-0,7883;-2,0071;0,4306;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Relaxation individual + placebo;-0,1558;-1,3582;1,0465;-0,1558;-1,3582;1,0465;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Self-help;-0,6497;-1,2124;-0,0870;-0,6497;-1,2124;-0,0870;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Self-help with support;-0,6290;-1,1818;-0,0762;-0,6290;-1,1818;-0,0762;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Sham acupuncture;-0,1507;-0,9170;0,6157;-0,1507;-0,9170;0,6157;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Short-term psychodynamic psychotherapies individual;-0,7098;-1,3789;-0,0406;-0,7098;-1,3789;-0,0406;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Short-term psychodynamic psychotherapies individual + AD;-0,5020;-1,6798;0,6758;-0,5020;-1,6798;0,6758;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
SNRIs;-0,7113;-0,8632;-0,5595;-0,7113;-0,8632;-0,5595;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
SSRIs;-0,5218;-0,6325;-0,4111;-0,5218;-0,6325;-0,4111;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
TAU;-0,3454;-0,8923;0,2016;-0,3454;-0,8923;0,2016;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
TCAs;-0,6273;-0,7817;-0,4729;-0,6273;-0,7817;-0,4729;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Trazodone;-0,4002;-0,7486;-0,0517;-0,4002;-0,7486;-0,0517;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Waitlist;0,6737;0,1761;1,1713;0,6737;0,1761;1,1713;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Yoga group;-0,8845;-1,8640;0,0951;-0,8845;-1,8640;0,0951;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Yoga group + AD;-1,8580;-3,3190;-0,3970;-1,8580;-3,3190;-0,3970;Mindfulness or meditation group;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Acupuncture;-0,9163;-1,4419;-0,3906;-0,9101;-1,4429;-0,3774;Mirtazapine;1;Placebo;0,0062;0,0062;0,0067;TRUE;TRUE
Acupuncture + AD;-1,7488;-2,2550;-1,2426;-1,7415;-2,2552;-1,2278;Mirtazapine;1;Placebo;0,0073;0,0073;0,0042;TRUE;TRUE
Any AD;-0,6661;-1,1825;-0,1496;-0,6532;-1,1767;-0,1297;Mirtazapine;1;Placebo;0,0128;0,0128;0,0193;TRUE;TRUE
Any psychotherapy;0,1486;-0,9207;1,2178;0,1587;-0,9241;1,2414;Mirtazapine;1;Placebo;0,0101;0,0101;0,0678;TRUE;TRUE
Attention placebo;0,5718;-0,4354;1,5789;0,5810;-0,4397;1,6017;Mirtazapine;1;Placebo;0,0092;0,0092;0,0161;TRUE;TRUE
Behavioural therapies individual;0,3156;-0,4066;1,0379;0,3270;-0,4050;1,0589;Mirtazapine;1;Placebo;0,0113;0,0113;0,0359;TRUE;TRUE
Behavioural therapies individual + AD;-0,7311;-1,8053;0,3431;-0,7220;-1,8080;0,3640;Mirtazapine;1;Placebo;0,0091;0,0091;0,0125;TRUE;TRUE
Cognitive and cognitive behavioural therapies group;-0,9528;-1,5432;-0,3624;-0,9462;-1,5443;-0,3481;Mirtazapine;1;Placebo;0,0066;0,0066;0,0069;TRUE;TRUE
Cognitive and cognitive behavioural therapies group + AD;-1,3304;-2,3521;-0,3087;-1,3178;-2,3532;-0,2825;Mirtazapine;1;Placebo;0,0126;0,0126;0,0094;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual;-0,8540;-1,1770;-0,5311;-0,8447;-1,1723;-0,5171;Mirtazapine;1;Placebo;0,0093;0,0093;0,0109;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + AD;-1,3372;-1,8771;-0,7973;-1,3312;-1,8783;-0,7840;Mirtazapine;1;Placebo;0,0060;0,0060;0,0045;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + placebo;-1,3101;-2,1924;-0,4278;-1,3019;-2,1957;-0,4082;Mirtazapine;1;Placebo;0,0082;0,0082;0,0062;TRUE;TRUE
Counselling individual;-0,6775;-1,2871;-0,0679;-0,6676;-1,2862;-0,0491;Mirtazapine;1;Placebo;0,0099;0,0099;0,0146;TRUE;TRUE
Counselling individual + AD;-0,1937;-1,5170;1,1296;-0,1829;-1,5215;1,1556;Mirtazapine;1;Placebo;0,0107;0,0107;0,0554;TRUE;TRUE
Counselling individual + placebo;0,1501;-1,6724;1,9726;0,1608;-1,6840;2,0057;Mirtazapine;1;Placebo;0,0107;0,0107;0,0715;TRUE;TRUE
Exercise group;-0,8993;-1,6153;-0,1832;-0,8936;-1,6194;-0,1678;Mirtazapine;1;Placebo;0,0057;0,0057;0,0063;TRUE;TRUE
Exercise group + AD;-3,4467;-4,6928;-2,2006;-3,4402;-4,7030;-2,1773;Mirtazapine;1;Placebo;0,0065;0,0065;0,0019;TRUE;TRUE
Exercise individual;-0,7556;-1,4550;-0,0562;-0,7507;-1,4591;-0,0422;Mirtazapine;1;Placebo;0,0050;0,0050;0,0066;TRUE;TRUE
Exercise individual + AD;-1,4503;-2,3661;-0,5345;-1,4424;-2,3687;-0,5161;Mirtazapine;1;Placebo;0,0079;0,0079;0,0055;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual;-0,5561;-1,1991;0,0869;-0,5455;-1,1977;0,1068;Mirtazapine;1;Placebo;0,0106;0,0106;0,0190;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + AD;-0,8108;-1,5611;-0,0605;-0,8027;-1,5631;-0,0423;Mirtazapine;1;Placebo;0,0081;0,0081;0,0100;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + placebo;-0,5149;-1,3638;0,3340;-0,5012;-1,3615;0,3592;Mirtazapine;1;Placebo;0,0137;0,0137;0,0266;TRUE;TRUE
Light therapy;-0,8700;-1,9121;0,1721;-0,8678;-1,9241;0,1885;Mirtazapine;1;Placebo;0,0022;0,0022;0,0025;TRUE;TRUE
Light therapy + AD;-1,2062;-2,0280;-0,3844;-1,2062;-2,0389;-0,3734;Mirtazapine;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Mindfulness or meditation group;-4,2459;-6,0031;-2,4886;-4,2378;-6,0086;-2,4671;Mirtazapine;1;Placebo;0,0080;0,0080;0,0019;TRUE;TRUE
Music therapy group;-0,7770;-2,2462;0,6922;-0,7690;-2,2542;0,7163;Mirtazapine;1;Placebo;0,0080;0,0080;0,0103;TRUE;TRUE
No treatment;-0,1148;-0,5823;0,3527;-0,1068;-0,5808;0,3672;Mirtazapine;1;Placebo;0,0080;0,0080;0,0699;TRUE;TRUE
Peer support group;-1,3571;-2,6719;-0,0423;-1,3443;-2,6775;-0,0111;Mirtazapine;1;Placebo;0,0128;0,0128;0,0095;TRUE;TRUE
Peer support group + AD;-1,4781;-2,7913;-0,1649;-1,4652;-2,7968;-0,1336;Mirtazapine;1;Placebo;0,0128;0,0128;0,0087;TRUE;TRUE
Placebo;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;Mirtazapine;1;Placebo;0,0000;0,0000;NA;TRUE;TRUE
