treat;TE_base;lower_base;upper_base;TE_drop;lower_drop;upper_drop;removed_study;component_id;component_reference;delta_TE;abs_delta_TE;pct_shift_vs_base;estimable;ci_overlap
Short-term psychodynamic psychotherapies individual + AD;-0,5020;-1,6798;0,6758;-0,5222;-1,7019;0,6575;Husain 2014;1;Placebo;-0,0202;0,0202;0,0402;TRUE;TRUE
SNRIs;-0,7113;-0,8632;-0,5595;-0,7115;-0,8634;-0,5595;Husain 2014;1;Placebo;-0,0001;0,0001;0,0002;TRUE;TRUE
SSRIs;-0,5218;-0,6325;-0,4111;-0,5208;-0,6316;-0,4099;Husain 2014;1;Placebo;0,0010;0,0010;0,0020;TRUE;TRUE
TAU;-0,3454;-0,8923;0,2016;-0,3740;-0,9260;0,1780;Husain 2014;1;Placebo;-0,0287;0,0287;0,0830;TRUE;TRUE
TCAs;-0,6273;-0,7817;-0,4729;-0,6289;-0,7835;-0,4743;Husain 2014;1;Placebo;-0,0016;0,0016;0,0025;TRUE;TRUE
Trazodone;-0,4002;-0,7486;-0,0517;-0,3999;-0,7486;-0,0512;Husain 2014;1;Placebo;0,0003;0,0003;0,0007;TRUE;TRUE
Waitlist;0,6737;0,1761;1,1713;0,6436;0,1399;1,1472;Husain 2014;1;Placebo;-0,0301;0,0301;0,0447;TRUE;TRUE
Yoga group;-0,8845;-1,8640;0,0951;-0,9004;-1,8814;0,0806;Husain 2014;1;Placebo;-0,0159;0,0159;0,0180;TRUE;TRUE
Yoga group + AD;-1,8580;-3,3190;-0,3970;-1,8844;-3,3478;-0,4210;Husain 2014;1;Placebo;-0,0264;0,0264;0,0142;TRUE;TRUE
Acupuncture;-0,9163;-1,4419;-0,3906;-0,9159;-1,4422;-0,3897;Hwang 2004;1;Placebo;0,0003;0,0003;0,0004;TRUE;TRUE
Acupuncture + AD;-1,7488;-2,2550;-1,2426;-1,7480;-2,2548;-1,2412;Hwang 2004;1;Placebo;0,0008;0,0008;0,0005;TRUE;TRUE
Any AD;-0,6661;-1,1825;-0,1496;-0,6656;-1,1826;-0,1486;Hwang 2004;1;Placebo;0,0004;0,0004;0,0007;TRUE;TRUE
Any psychotherapy;0,1486;-0,9207;1,2178;0,1491;-0,9212;1,2195;Hwang 2004;1;Placebo;0,0005;0,0005;0,0037;TRUE;TRUE
Attention placebo;0,5718;-0,4354;1,5789;0,5720;-0,4362;1,5803;Hwang 2004;1;Placebo;0,0003;0,0003;0,0005;TRUE;TRUE
Behavioural therapies individual;0,3156;-0,4066;1,0379;0,3163;-0,4068;1,0394;Hwang 2004;1;Placebo;0,0007;0,0007;0,0021;TRUE;TRUE
Behavioural therapies individual + AD;-0,7311;-1,8053;0,3431;-0,7310;-1,8061;0,3442;Hwang 2004;1;Placebo;0,0001;0,0001;0,0002;TRUE;TRUE
Cognitive and cognitive behavioural therapies group;-0,9528;-1,5432;-0,3624;-0,9526;-1,5436;-0,3616;Hwang 2004;1;Placebo;0,0002;0,0002;0,0002;TRUE;TRUE
Cognitive and cognitive behavioural therapies group + AD;-1,3304;-2,3521;-0,3087;-1,3300;-2,3528;-0,3072;Hwang 2004;1;Placebo;0,0004;0,0004;0,0003;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual;-0,8540;-1,1770;-0,5311;-0,8538;-1,1771;-0,5305;Hwang 2004;1;Placebo;0,0002;0,0002;0,0003;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + AD;-1,3372;-1,8771;-0,7973;-1,3372;-1,8777;-0,7967;Hwang 2004;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + placebo;-1,3101;-2,1924;-0,4278;-1,3101;-2,1933;-0,4269;Hwang 2004;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Counselling individual;-0,6775;-1,2871;-0,0679;-0,6772;-1,2874;-0,0669;Hwang 2004;1;Placebo;0,0003;0,0003;0,0005;TRUE;TRUE
Counselling individual + AD;-0,1937;-1,5170;1,1296;-0,1934;-1,5179;1,1311;Hwang 2004;1;Placebo;0,0003;0,0003;0,0014;TRUE;TRUE
Counselling individual + placebo;0,1501;-1,6724;1,9726;0,1504;-1,6740;1,9747;Hwang 2004;1;Placebo;0,0003;0,0003;0,0018;TRUE;TRUE
Exercise group;-0,8993;-1,6153;-0,1832;-0,8990;-1,6158;-0,1822;Hwang 2004;1;Placebo;0,0003;0,0003;0,0003;TRUE;TRUE
Exercise group + AD;-3,4467;-4,6928;-2,2006;-3,4459;-4,6934;-2,1985;Hwang 2004;1;Placebo;0,0008;0,0008;0,0002;TRUE;TRUE
Exercise individual;-0,7556;-1,4550;-0,0562;-0,7553;-1,4555;-0,0552;Hwang 2004;1;Placebo;0,0003;0,0003;0,0004;TRUE;TRUE
Exercise individual + AD;-1,4503;-2,3661;-0,5345;-1,4499;-2,3666;-0,5333;Hwang 2004;1;Placebo;0,0004;0,0004;0,0003;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual;-0,5561;-1,1991;0,0869;-0,5559;-1,1996;0,0878;Hwang 2004;1;Placebo;0,0002;0,0002;0,0003;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + AD;-0,8108;-1,5611;-0,0605;-0,8112;-1,5623;-0,0600;Hwang 2004;1;Placebo;-0,0004;0,0004;0,0004;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + placebo;-0,5149;-1,3638;0,3340;-0,5147;-1,3645;0,3351;Hwang 2004;1;Placebo;0,0002;0,0002;0,0004;TRUE;TRUE
Light therapy;-0,8700;-1,9121;0,1721;-0,8700;-1,9133;0,1732;Hwang 2004;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Light therapy + AD;-1,2062;-2,0280;-0,3844;-1,2070;-2,0297;-0,3843;Hwang 2004;1;Placebo;-0,0008;0,0008;0,0007;TRUE;TRUE
Mindfulness or meditation group;-4,2459;-6,0031;-2,4886;-4,2455;-6,0039;-2,4871;Hwang 2004;1;Placebo;0,0004;0,0004;0,0001;TRUE;TRUE
Mirtazapine;-0,6954;-0,9513;-0,4395;-0,6954;-0,9515;-0,4392;Hwang 2004;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Music therapy group;-0,7770;-2,2462;0,6922;-0,7766;-2,2471;0,6939;Hwang 2004;1;Placebo;0,0004;0,0004;0,0005;TRUE;TRUE
No treatment;-0,1148;-0,5823;0,3527;-0,1144;-0,5825;0,3536;Hwang 2004;1;Placebo;0,0004;0,0004;0,0031;TRUE;TRUE
Peer support group;-1,3571;-2,6719;-0,0423;-1,3567;-2,6730;-0,0404;Hwang 2004;1;Placebo;0,0004;0,0004;0,0003;TRUE;TRUE
Peer support group + AD;-1,4781;-2,7913;-0,1649;-1,4776;-2,7923;-0,1629;Hwang 2004;1;Placebo;0,0004;0,0004;0,0003;TRUE;TRUE
Placebo;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;Hwang 2004;1;Placebo;0,0000;0,0000;NA;TRUE;TRUE
Problem solving group;-2,9953;-4,1991;-1,7915;-2,9949;-4,1996;-1,7902;Hwang 2004;1;Placebo;0,0004;0,0004;0,0001;TRUE;TRUE
Problem solving individual;-0,9765;-1,6284;-0,3247;-0,9763;-1,6289;-0,3238;Hwang 2004;1;Placebo;0,0002;0,0002;0,0002;TRUE;TRUE
Psychoeducation group;-1,3504;-2,6595;-0,0412;-1,3500;-2,6606;-0,0394;Hwang 2004;1;Placebo;0,0004;0,0004;0,0003;TRUE;TRUE
Psychoeducation group + AD;-0,4584;-1,6559;0,7392;-0,4583;-1,6572;0,7405;Hwang 2004;1;Placebo;0,0000;0,0000;0,0001;TRUE;TRUE
Relaxation individual + AD;-0,7883;-2,0071;0,4306;-0,7882;-2,0081;0,4317;Hwang 2004;1;Placebo;0,0001;0,0001;0,0001;TRUE;TRUE
Relaxation individual + placebo;-0,1558;-1,3582;1,0465;-0,1557;-1,3591;1,0476;Hwang 2004;1;Placebo;0,0001;0,0001;0,0006;TRUE;TRUE
Self-help;-0,6497;-1,2124;-0,0870;-0,6493;-1,2126;-0,0860;Hwang 2004;1;Placebo;0,0004;0,0004;0,0006;TRUE;TRUE
Self-help with support;-0,6290;-1,1818;-0,0762;-0,6286;-1,1820;-0,0752;Hwang 2004;1;Placebo;0,0004;0,0004;0,0006;TRUE;TRUE
Sham acupuncture;-0,1507;-0,9170;0,6157;-0,1502;-0,9174;0,6170;Hwang 2004;1;Placebo;0,0005;0,0005;0,0030;TRUE;TRUE
Short-term psychodynamic psychotherapies individual;-0,7098;-1,3789;-0,0406;-0,7093;-1,3792;-0,0394;Hwang 2004;1;Placebo;0,0005;0,0005;0,0007;TRUE;TRUE
Short-term psychodynamic psychotherapies individual + AD;-0,5020;-1,6798;0,6758;-0,5016;-1,6806;0,6773;Hwang 2004;1;Placebo;0,0004;0,0004;0,0007;TRUE;TRUE
SNRIs;-0,7113;-0,8632;-0,5595;-0,7137;-0,8664;-0,5610;Hwang 2004;1;Placebo;-0,0024;0,0024;0,0034;TRUE;TRUE
SSRIs;-0,5218;-0,6325;-0,4111;-0,5211;-0,6320;-0,4101;Hwang 2004;1;Placebo;0,0008;0,0008;0,0014;TRUE;TRUE
TAU;-0,3454;-0,8923;0,2016;-0,3451;-0,8926;0,2024;Hwang 2004;1;Placebo;0,0003;0,0003;0,0008;TRUE;TRUE
TCAs;-0,6273;-0,7817;-0,4729;-0,6272;-0,7818;-0,4726;Hwang 2004;1;Placebo;0,0001;0,0001;0,0002;TRUE;TRUE
Trazodone;-0,4002;-0,7486;-0,0517;-0,4001;-0,7490;-0,0513;Hwang 2004;1;Placebo;0,0000;0,0000;0,0001;TRUE;TRUE
Waitlist;0,6737;0,1761;1,1713;0,6743;0,1762;1,1724;Hwang 2004;1;Placebo;0,0006;0,0006;0,0009;TRUE;TRUE
Yoga group;-0,8845;-1,8640;0,0951;-0,8841;-1,8646;0,0964;Hwang 2004;1;Placebo;0,0004;0,0004;0,0004;TRUE;TRUE
Yoga group + AD;-1,8580;-3,3190;-0,3970;-1,8576;-3,3199;-0,3952;Hwang 2004;1;Placebo;0,0004;0,0004;0,0002;TRUE;TRUE
Acupuncture;-0,9163;-1,4419;-0,3906;-0,9134;-1,4379;-0,3889;Jacobson 1996;1;Placebo;0,0029;0,0029;0,0032;TRUE;TRUE
Acupuncture + AD;-1,7488;-2,2550;-1,2426;-1,7497;-2,2548;-1,2447;Jacobson 1996;1;Placebo;-0,0009;0,0009;0,0005;TRUE;TRUE
Any AD;-0,6661;-1,1825;-0,1496;-0,6534;-1,1692;-0,1375;Jacobson 1996;1;Placebo;0,0127;0,0127;0,0191;TRUE;TRUE
Any psychotherapy;0,1486;-0,9207;1,2178;-0,0054;-1,1039;1,0931;Jacobson 1996;1;Placebo;-0,1539;0,1539;1,0361;TRUE;TRUE
Attention placebo;0,5718;-0,4354;1,5789;0,5836;-0,4215;1,5888;Jacobson 1996;1;Placebo;0,0119;0,0119;0,0207;TRUE;TRUE
Behavioural therapies individual;0,3156;-0,4066;1,0379;0,0380;-0,8228;0,8988;Jacobson 1996;1;Placebo;-0,2777;0,2777;0,8797;TRUE;TRUE
Behavioural therapies individual + AD;-0,7311;-1,8053;0,3431;-0,7278;-1,8001;0,3444;Jacobson 1996;1;Placebo;0,0033;0,0033;0,0045;TRUE;TRUE
Cognitive and cognitive behavioural therapies group;-0,9528;-1,5432;-0,3624;-0,9414;-1,5308;-0,3519;Jacobson 1996;1;Placebo;0,0114;0,0114;0,0120;TRUE;TRUE
Cognitive and cognitive behavioural therapies group + AD;-1,3304;-2,3521;-0,3087;-1,3176;-2,3373;-0,2979;Jacobson 1996;1;Placebo;0,0128;0,0128;0,0096;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual;-0,8540;-1,1770;-0,5311;-0,8320;-1,1564;-0,5076;Jacobson 1996;1;Placebo;0,0220;0,0220;0,0258;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + AD;-1,3372;-1,8771;-0,7973;-1,3273;-1,8662;-0,7884;Jacobson 1996;1;Placebo;0,0099;0,0099;0,0074;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + placebo;-1,3101;-2,1924;-0,4278;-1,2994;-2,1800;-0,4188;Jacobson 1996;1;Placebo;0,0107;0,0107;0,0082;TRUE;TRUE
Counselling individual;-0,6775;-1,2871;-0,0679;-0,6636;-1,2722;-0,0550;Jacobson 1996;1;Placebo;0,0139;0,0139;0,0205;TRUE;TRUE
Counselling individual + AD;-0,1937;-1,5170;1,1296;-0,1870;-1,5078;1,1338;Jacobson 1996;1;Placebo;0,0067;0,0067;0,0346;TRUE;TRUE
Counselling individual + placebo;0,1501;-1,6724;1,9726;0,1568;-1,6620;1,9756;Jacobson 1996;1;Placebo;0,0067;0,0067;0,0447;TRUE;TRUE
Exercise group;-0,8993;-1,6153;-0,1832;-0,8920;-1,6065;-0,1775;Jacobson 1996;1;Placebo;0,0073;0,0073;0,0081;TRUE;TRUE
Exercise group + AD;-3,4467;-4,6928;-2,2006;-3,4475;-4,6908;-2,2041;Jacobson 1996;1;Placebo;-0,0008;0,0008;0,0002;TRUE;TRUE
Exercise individual;-0,7556;-1,4550;-0,0562;-0,7499;-1,4479;-0,0519;Jacobson 1996;1;Placebo;0,0057;0,0057;0,0076;TRUE;TRUE
Exercise individual + AD;-1,4503;-2,3661;-0,5345;-1,4419;-2,3561;-0,5277;Jacobson 1996;1;Placebo;0,0084;0,0084;0,0058;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual;-0,5561;-1,1991;0,0869;-0,5448;-1,1866;0,0969;Jacobson 1996;1;Placebo;0,0112;0,0112;0,0202;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + AD;-0,8108;-1,5611;-0,0605;-0,8021;-1,5510;-0,0533;Jacobson 1996;1;Placebo;0,0087;0,0087;0,0107;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + placebo;-0,5149;-1,3638;0,3340;-0,5075;-1,3546;0,3396;Jacobson 1996;1;Placebo;0,0074;0,0074;0,0143;TRUE;TRUE
Light therapy;-0,8700;-1,9121;0,1721;-0,8703;-1,9100;0,1695;Jacobson 1996;1;Placebo;-0,0003;0,0003;0,0003;TRUE;TRUE
Light therapy + AD;-1,2062;-2,0280;-0,3844;-1,2063;-2,0263;-0,3862;Jacobson 1996;1;Placebo;-0,0001;0,0001;0,0001;TRUE;TRUE
Mindfulness or meditation group;-4,2459;-6,0031;-2,4886;-4,2341;-5,9893;-2,4789;Jacobson 1996;1;Placebo;0,0118;0,0118;0,0028;TRUE;TRUE
Mirtazapine;-0,6954;-0,9513;-0,4395;-0,6953;-0,9506;-0,4401;Jacobson 1996;1;Placebo;0,0001;0,0001;0,0001;TRUE;TRUE
Music therapy group;-0,7770;-2,2462;0,6922;-0,7652;-2,2319;0,7014;Jacobson 1996;1;Placebo;0,0118;0,0118;0,0151;TRUE;TRUE
No treatment;-0,1148;-0,5823;0,3527;-0,1030;-0,5700;0,3639;Jacobson 1996;1;Placebo;0,0118;0,0118;0,1024;TRUE;TRUE
Peer support group;-1,3571;-2,6719;-0,0423;-1,3444;-2,6564;-0,0325;Jacobson 1996;1;Placebo;0,0127;0,0127;0,0094;TRUE;TRUE
Peer support group + AD;-1,4781;-2,7913;-0,1649;-1,4654;-2,7757;-0,1550;Jacobson 1996;1;Placebo;0,0127;0,0127;0,0086;TRUE;TRUE
Placebo;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;Jacobson 1996;1;Placebo;0,0000;0,0000;NA;TRUE;TRUE
Problem solving group;-2,9953;-4,1991;-1,7915;-2,9832;-4,1853;-1,7811;Jacobson 1996;1;Placebo;0,0121;0,0121;0,0041;TRUE;TRUE
Problem solving individual;-0,9765;-1,6284;-0,3247;-0,9665;-1,6170;-0,3159;Jacobson 1996;1;Placebo;0,0101;0,0101;0,0103;TRUE;TRUE
Psychoeducation group;-1,3504;-2,6595;-0,0412;-1,3386;-2,6449;-0,0323;Jacobson 1996;1;Placebo;0,0118;0,0118;0,0087;TRUE;TRUE
Psychoeducation group + AD;-0,4584;-1,6559;0,7392;-0,4477;-1,6428;0,7474;Jacobson 1996;1;Placebo;0,0107;0,0107;0,0233;TRUE;TRUE
Relaxation individual + AD;-0,7883;-2,0071;0,4306;-0,7867;-2,0035;0,4302;Jacobson 1996;1;Placebo;0,0016;0,0016;0,0020;TRUE;TRUE
Relaxation individual + placebo;-0,1558;-1,3582;1,0465;-0,1543;-1,3545;1,0460;Jacobson 1996;1;Placebo;0,0016;0,0016;0,0101;TRUE;TRUE
Self-help;-0,6497;-1,2124;-0,0870;-0,6361;-1,1981;-0,0742;Jacobson 1996;1;Placebo;0,0136;0,0136;0,0209;TRUE;TRUE
Self-help with support;-0,6290;-1,1818;-0,0762;-0,6171;-1,1691;-0,0652;Jacobson 1996;1;Placebo;0,0118;0,0118;0,0188;TRUE;TRUE
Sham acupuncture;-0,1507;-0,9170;0,6157;-0,1463;-0,9111;0,6184;Jacobson 1996;1;Placebo;0,0043;0,0043;0,0287;TRUE;TRUE
Short-term psychodynamic psychotherapies individual;-0,7098;-1,3789;-0,0406;-0,7290;-1,3974;-0,0606;Jacobson 1996;1;Placebo;-0,0192;0,0192;0,0271;TRUE;TRUE
Short-term psychodynamic psychotherapies individual + AD;-0,5020;-1,6798;0,6758;-0,4922;-1,6677;0,6833;Jacobson 1996;1;Placebo;0,0098;0,0098;0,0195;TRUE;TRUE
SNRIs;-0,7113;-0,8632;-0,5595;-0,7110;-0,8624;-0,5595;Jacobson 1996;1;Placebo;0,0004;0,0004;0,0005;TRUE;TRUE
SSRIs;-0,5218;-0,6325;-0,4111;-0,5226;-0,6330;-0,4121;Jacobson 1996;1;Placebo;-0,0008;0,0008;0,0015;TRUE;TRUE
TAU;-0,3454;-0,8923;0,2016;-0,3332;-0,8793;0,2129;Jacobson 1996;1;Placebo;0,0122;0,0122;0,0352;TRUE;TRUE
TCAs;-0,6273;-0,7817;-0,4729;-0,6259;-0,7800;-0,4719;Jacobson 1996;1;Placebo;0,0014;0,0014;0,0023;TRUE;TRUE
Trazodone;-0,4002;-0,7486;-0,0517;-0,4003;-0,7479;-0,0527;Jacobson 1996;1;Placebo;-0,0001;0,0001;0,0003;TRUE;TRUE
Waitlist;0,6737;0,1761;1,1713;0,6854;0,1884;1,1824;Jacobson 1996;1;Placebo;0,0117;0,0117;0,0174;TRUE;TRUE
Yoga group;-0,8845;-1,8640;0,0951;-0,8779;-1,8556;0,0998;Jacobson 1996;1;Placebo;0,0066;0,0066;0,0074;TRUE;TRUE
Yoga group + AD;-1,8580;-3,3190;-0,3970;-1,8453;-3,3037;-0,3869;Jacobson 1996;1;Placebo;0,0127;0,0127;0,0068;TRUE;TRUE
Acupuncture;-0,9163;-1,4419;-0,3906;-0,9270;-1,4523;-0,4016;Jamison 1995;1;Placebo;-0,0107;0,0107;0,0116;TRUE;TRUE
Acupuncture + AD;-1,7488;-2,2550;-1,2426;-1,7489;-2,2546;-1,2432;Jamison 1995;1;Placebo;-0,0001;0,0001;0,0001;TRUE;TRUE
Any AD;-0,6661;-1,1825;-0,1496;-0,6639;-1,1799;-0,1480;Jamison 1995;1;Placebo;0,0021;0,0021;0,0032;TRUE;TRUE
Any psychotherapy;0,1486;-0,9207;1,2178;0,1490;-0,9193;1,2172;Jamison 1995;1;Placebo;0,0004;0,0004;0,0027;TRUE;TRUE
Attention placebo;0,5718;-0,4354;1,5789;0,6188;-0,3894;1,6270;Jamison 1995;1;Placebo;0,0470;0,0470;0,0822;TRUE;TRUE
Behavioural therapies individual;0,3156;-0,4066;1,0379;0,3170;-0,4046;1,0385;Jamison 1995;1;Placebo;0,0013;0,0013;0,0042;TRUE;TRUE
Behavioural therapies individual + AD;-0,7311;-1,8053;0,3431;-0,7307;-1,8040;0,3426;Jamison 1995;1;Placebo;0,0004;0,0004;0,0006;TRUE;TRUE
Cognitive and cognitive behavioural therapies group;-0,9528;-1,5432;-0,3624;-0,9497;-1,5395;-0,3598;Jamison 1995;1;Placebo;0,0031;0,0031;0,0033;TRUE;TRUE
Cognitive and cognitive behavioural therapies group + AD;-1,3304;-2,3521;-0,3087;-1,3282;-2,3489;-0,3076;Jamison 1995;1;Placebo;0,0021;0,0021;0,0016;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual;-0,8540;-1,1770;-0,5311;-0,8509;-1,1736;-0,5283;Jamison 1995;1;Placebo;0,0031;0,0031;0,0036;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + AD;-1,3372;-1,8771;-0,7973;-1,3354;-1,8747;-0,7960;Jamison 1995;1;Placebo;0,0018;0,0018;0,0013;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + placebo;-1,3101;-2,1924;-0,4278;-1,3084;-2,1898;-0,4269;Jamison 1995;1;Placebo;0,0017;0,0017;0,0013;TRUE;TRUE
Counselling individual;-0,6775;-1,2871;-0,0679;-0,6620;-1,2712;-0,0527;Jamison 1995;1;Placebo;0,0155;0,0155;0,0229;TRUE;TRUE
Counselling individual + AD;-0,1937;-1,5170;1,1296;-0,1927;-1,5148;1,1295;Jamison 1995;1;Placebo;0,0010;0,0010;0,0053;TRUE;TRUE
Counselling individual + placebo;0,1501;-1,6724;1,9726;0,1511;-1,6697;1,9719;Jamison 1995;1;Placebo;0,0010;0,0010;0,0069;TRUE;TRUE
Exercise group;-0,8993;-1,6153;-0,1832;-0,8954;-1,6107;-0,1801;Jamison 1995;1;Placebo;0,0039;0,0039;0,0043;TRUE;TRUE
Exercise group + AD;-3,4467;-4,6928;-2,2006;-3,4467;-4,6916;-2,2019;Jamison 1995;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Exercise individual;-0,7556;-1,4550;-0,0562;-0,7520;-1,4507;-0,0532;Jamison 1995;1;Placebo;0,0037;0,0037;0,0049;TRUE;TRUE
Exercise individual + AD;-1,4503;-2,3661;-0,5345;-1,4469;-2,3619;-0,5319;Jamison 1995;1;Placebo;0,0034;0,0034;0,0023;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual;-0,5561;-1,1991;0,0869;-0,5544;-1,1967;0,0879;Jamison 1995;1;Placebo;0,0016;0,0016;0,0029;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + AD;-0,8108;-1,5611;-0,0605;-0,8094;-1,5590;-0,0598;Jamison 1995;1;Placebo;0,0014;0,0014;0,0017;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + placebo;-0,5149;-1,3638;0,3340;-0,5139;-1,3619;0,3342;Jamison 1995;1;Placebo;0,0010;0,0010;0,0019;TRUE;TRUE
Light therapy;-0,8700;-1,9121;0,1721;-0,8700;-1,9110;0,1710;Jamison 1995;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Light therapy + AD;-1,2062;-2,0280;-0,3844;-1,2061;-2,0271;-0,3852;Jamison 1995;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Mindfulness or meditation group;-4,2459;-6,0031;-2,4886;-4,2375;-5,9938;-2,4812;Jamison 1995;1;Placebo;0,0084;0,0084;0,0020;TRUE;TRUE
Mirtazapine;-0,6954;-0,9513;-0,4395;-0,6954;-0,9510;-0,4398;Jamison 1995;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Music therapy group;-0,7770;-2,2462;0,6922;-0,7686;-2,2366;0,6994;Jamison 1995;1;Placebo;0,0084;0,0084;0,0108;TRUE;TRUE
No treatment;-0,1148;-0,5823;0,3527;-0,1064;-0,5736;0,3608;Jamison 1995;1;Placebo;0,0084;0,0084;0,0731;TRUE;TRUE
Peer support group;-1,3571;-2,6719;-0,0423;-1,3550;-2,6684;-0,0416;Jamison 1995;1;Placebo;0,0021;0,0021;0,0016;TRUE;TRUE
Peer support group + AD;-1,4781;-2,7913;-0,1649;-1,4759;-2,7878;-0,1641;Jamison 1995;1;Placebo;0,0021;0,0021;0,0014;TRUE;TRUE
Placebo;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;Jamison 1995;1;Placebo;0,0000;0,0000;NA;TRUE;TRUE
Problem solving group;-2,9953;-4,1991;-1,7915;-3,0449;-4,2497;-1,8400;Jamison 1995;1;Placebo;-0,0495;0,0495;0,0165;TRUE;TRUE
Problem solving individual;-0,9765;-1,6284;-0,3247;-0,9727;-1,6238;-0,3215;Jamison 1995;1;Placebo;0,0039;0,0039;0,0040;TRUE;TRUE
Psychoeducation group;-1,3504;-2,6595;-0,0412;-1,3420;-2,6498;-0,0341;Jamison 1995;1;Placebo;0,0084;0,0084;0,0062;TRUE;TRUE
Psychoeducation group + AD;-0,4584;-1,6559;0,7392;-0,4566;-1,6530;0,7397;Jamison 1995;1;Placebo;0,0018;0,0018;0,0038;TRUE;TRUE
Relaxation individual + AD;-0,7883;-2,0071;0,4306;-0,7881;-2,0061;0,4298;Jamison 1995;1;Placebo;0,0001;0,0001;0,0002;TRUE;TRUE
Relaxation individual + placebo;-0,1558;-1,3582;1,0465;-0,1557;-1,3571;1,0457;Jamison 1995;1;Placebo;0,0001;0,0001;0,0008;TRUE;TRUE
Self-help;-0,6497;-1,2124;-0,0870;-0,5574;-1,1335;0,0188;Jamison 1995;1;Placebo;0,0924;0,0924;0,1421;TRUE;TRUE
Self-help with support;-0,6290;-1,1818;-0,0762;-0,6401;-1,1926;-0,0877;Jamison 1995;1;Placebo;-0,0111;0,0111;0,0177;TRUE;TRUE
Sham acupuncture;-0,1507;-0,9170;0,6157;-0,1683;-0,9343;0,5977;Jamison 1995;1;Placebo;-0,0176;0,0176;0,1170;TRUE;TRUE
Short-term psychodynamic psychotherapies individual;-0,7098;-1,3789;-0,0406;-0,7104;-1,3789;-0,0420;Jamison 1995;1;Placebo;-0,0007;0,0007;0,0009;TRUE;TRUE
Short-term psychodynamic psychotherapies individual + AD;-0,5020;-1,6798;0,6758;-0,5004;-1,6771;0,6763;Jamison 1995;1;Placebo;0,0016;0,0016;0,0032;TRUE;TRUE
SNRIs;-0,7113;-0,8632;-0,5595;-0,7112;-0,8629;-0,5595;Jamison 1995;1;Placebo;0,0001;0,0001;0,0002;TRUE;TRUE
SSRIs;-0,5218;-0,6325;-0,4111;-0,5219;-0,6325;-0,4112;Jamison 1995;1;Placebo;0,0000;0,0000;0,0001;TRUE;TRUE
TAU;-0,3454;-0,8923;0,2016;-0,3415;-0,8879;0,2049;Jamison 1995;1;Placebo;0,0038;0,0038;0,0111;TRUE;TRUE
TCAs;-0,6273;-0,7817;-0,4729;-0,6274;-0,7817;-0,4732;Jamison 1995;1;Placebo;-0,0001;0,0001;0,0002;TRUE;TRUE
Trazodone;-0,4002;-0,7486;-0,0517;-0,4002;-0,7482;-0,0522;Jamison 1995;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Waitlist;0,6737;0,1761;1,1713;0,6240;0,1223;1,1257;Jamison 1995;1;Placebo;-0,0497;0,0497;0,0738;TRUE;TRUE
Yoga group;-0,8845;-1,8640;0,0951;-0,9095;-1,8887;0,0698;Jamison 1995;1;Placebo;-0,0250;0,0250;0,0283;TRUE;TRUE
Yoga group + AD;-1,8580;-3,3190;-0,3970;-1,8559;-3,3156;-0,3961;Jamison 1995;1;Placebo;0,0021;0,0021;0,0011;TRUE;TRUE
Acupuncture;-0,9163;-1,4419;-0,3906;-0,9225;-1,4489;-0,3961;Janakiramaiah 2000;1;Placebo;-0,0062;0,0062;0,0068;TRUE;TRUE
Acupuncture + AD;-1,7488;-2,2550;-1,2426;-1,7490;-2,2552;-1,2428;Janakiramaiah 2000;1;Placebo;-0,0002;0,0002;0,0001;TRUE;TRUE
Any AD;-0,6661;-1,1825;-0,1496;-0,6709;-1,1879;-0,1540;Janakiramaiah 2000;1;Placebo;-0,0049;0,0049;0,0073;TRUE;TRUE
