treat;TE_base;lower_base;upper_base;TE_drop;lower_drop;upper_drop;removed_study;component_id;component_reference;delta_TE;abs_delta_TE;pct_shift_vs_base;estimable;ci_overlap
Interpersonal psychotherapy (IPT) individual + placebo;-0,5149;-1,3638;0,3340;-0,5155;-1,3666;0,3356;Ward 2000/King 2000;1;Placebo;-0,0006;0,0006;0,0012;TRUE;TRUE
Light therapy;-0,8700;-1,9121;0,1721;-0,8701;-1,9149;0,1747;Ward 2000/King 2000;1;Placebo;-0,0001;0,0001;0,0001;TRUE;TRUE
Light therapy + AD;-1,2062;-2,0280;-0,3844;-1,2064;-2,0303;-0,3825;Ward 2000/King 2000;1;Placebo;-0,0002;0,0002;0,0002;TRUE;TRUE
Mindfulness or meditation group;-4,2459;-6,0031;-2,4886;-4,2412;-6,0015;-2,4808;Ward 2000/King 2000;1;Placebo;0,0047;0,0047;0,0011;TRUE;TRUE
Mirtazapine;-0,6954;-0,9513;-0,4395;-0,6955;-0,9521;-0,4389;Ward 2000/King 2000;1;Placebo;-0,0001;0,0001;0,0002;TRUE;TRUE
Music therapy group;-0,7770;-2,2462;0,6922;-0,7723;-2,2451;0,7005;Ward 2000/King 2000;1;Placebo;0,0047;0,0047;0,0061;TRUE;TRUE
No treatment;-0,1148;-0,5823;0,3527;-0,1101;-0,5806;0,3604;Ward 2000/King 2000;1;Placebo;0,0047;0,0047;0,0410;TRUE;TRUE
Peer support group;-1,3571;-2,6719;-0,0423;-1,3586;-2,6772;-0,0401;Ward 2000/King 2000;1;Placebo;-0,0015;0,0015;0,0011;TRUE;TRUE
Peer support group + AD;-1,4781;-2,7913;-0,1649;-1,4796;-2,7965;-0,1627;Ward 2000/King 2000;1;Placebo;-0,0015;0,0015;0,0010;TRUE;TRUE
Placebo;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;Ward 2000/King 2000;1;Placebo;0,0000;0,0000;NA;TRUE;TRUE
Problem solving group;-2,9953;-4,1991;-1,7915;-2,9905;-4,1972;-1,7838;Ward 2000/King 2000;1;Placebo;0,0048;0,0048;0,0016;TRUE;TRUE
Problem solving individual;-0,9765;-1,6284;-0,3247;-0,9585;-1,6300;-0,2870;Ward 2000/King 2000;1;Placebo;0,0180;0,0180;0,0184;TRUE;TRUE
Psychoeducation group;-1,3504;-2,6595;-0,0412;-1,3457;-2,6589;-0,0324;Ward 2000/King 2000;1;Placebo;0,0047;0,0047;0,0035;TRUE;TRUE
Psychoeducation group + AD;-0,4584;-1,6559;0,7392;-0,4597;-1,6604;0,7411;Ward 2000/King 2000;1;Placebo;-0,0013;0,0013;0,0028;TRUE;TRUE
Relaxation individual + AD;-0,7883;-2,0071;0,4306;-0,7885;-2,0098;0,4328;Ward 2000/King 2000;1;Placebo;-0,0002;0,0002;0,0003;TRUE;TRUE
Relaxation individual + placebo;-0,1558;-1,3582;1,0465;-0,1561;-1,3608;1,0487;Ward 2000/King 2000;1;Placebo;-0,0002;0,0002;0,0014;TRUE;TRUE
Self-help;-0,6497;-1,2124;-0,0870;-0,6420;-1,2098;-0,0743;Ward 2000/King 2000;1;Placebo;0,0077;0,0077;0,0118;TRUE;TRUE
Self-help with support;-0,6290;-1,1818;-0,0762;-0,6266;-1,1814;-0,0717;Ward 2000/King 2000;1;Placebo;0,0024;0,0024;0,0039;TRUE;TRUE
Sham acupuncture;-0,1507;-0,9170;0,6157;-0,1492;-0,9177;0,6192;Ward 2000/King 2000;1;Placebo;0,0014;0,0014;0,0095;TRUE;TRUE
Short-term psychodynamic psychotherapies individual;-0,7098;-1,3789;-0,0406;-0,7098;-1,3812;-0,0384;Ward 2000/King 2000;1;Placebo;0,0000;0,0000;0,0001;TRUE;TRUE
Short-term psychodynamic psychotherapies individual + AD;-0,5020;-1,6798;0,6758;-0,5031;-1,6838;0,6775;Ward 2000/King 2000;1;Placebo;-0,0011;0,0011;0,0023;TRUE;TRUE
SNRIs;-0,7113;-0,8632;-0,5595;-0,7117;-0,8640;-0,5594;Ward 2000/King 2000;1;Placebo;-0,0004;0,0004;0,0006;TRUE;TRUE
SSRIs;-0,5218;-0,6325;-0,4111;-0,5219;-0,6330;-0,4108;Ward 2000/King 2000;1;Placebo;-0,0001;0,0001;0,0002;TRUE;TRUE
TAU;-0,3454;-0,8923;0,2016;-0,3613;-0,9689;0,2463;Ward 2000/King 2000;1;Placebo;-0,0159;0,0159;0,0461;TRUE;TRUE
TCAs;-0,6273;-0,7817;-0,4729;-0,6275;-0,7824;-0,4727;Ward 2000/King 2000;1;Placebo;-0,0002;0,0002;0,0003;TRUE;TRUE
Trazodone;-0,4002;-0,7486;-0,0517;-0,4003;-0,7497;-0,0509;Ward 2000/King 2000;1;Placebo;-0,0001;0,0001;0,0003;TRUE;TRUE
Waitlist;0,6737;0,1761;1,1713;0,6791;0,1785;1,1796;Ward 2000/King 2000;1;Placebo;0,0053;0,0053;0,0079;TRUE;TRUE
Yoga group;-0,8845;-1,8640;0,0951;-0,8819;-1,8639;0,1001;Ward 2000/King 2000;1;Placebo;0,0026;0,0026;0,0029;TRUE;TRUE
Yoga group + AD;-1,8580;-3,3190;-0,3970;-1,8595;-3,3238;-0,3952;Ward 2000/King 2000;1;Placebo;-0,0015;0,0015;0,0008;TRUE;TRUE
Acupuncture;-0,9163;-1,4419;-0,3906;-0,9196;-1,4462;-0,3930;WELL AK1A4006;1;Placebo;-0,0033;0,0033;0,0036;TRUE;TRUE
Acupuncture + AD;-1,7488;-2,2550;-1,2426;-1,7521;-2,2593;-1,2448;WELL AK1A4006;1;Placebo;-0,0033;0,0033;0,0019;TRUE;TRUE
Any AD;-0,6661;-1,1825;-0,1496;-0,6678;-1,1852;-0,1505;WELL AK1A4006;1;Placebo;-0,0018;0,0018;0,0026;TRUE;TRUE
Any psychotherapy;0,1486;-0,9207;1,2178;0,1460;-0,9250;1,2171;WELL AK1A4006;1;Placebo;-0,0025;0,0025;0,0171;TRUE;TRUE
Attention placebo;0,5718;-0,4354;1,5789;0,5696;-0,4393;1,5785;WELL AK1A4006;1;Placebo;-0,0022;0,0022;0,0039;TRUE;TRUE
Behavioural therapies individual;0,3156;-0,4066;1,0379;0,3132;-0,4103;1,0368;WELL AK1A4006;1;Placebo;-0,0024;0,0024;0,0076;TRUE;TRUE
Behavioural therapies individual + AD;-0,7311;-1,8053;0,3431;-0,7323;-1,8080;0,3434;WELL AK1A4006;1;Placebo;-0,0012;0,0012;0,0016;TRUE;TRUE
Cognitive and cognitive behavioural therapies group;-0,9528;-1,5432;-0,3624;-0,9557;-1,5471;-0,3643;WELL AK1A4006;1;Placebo;-0,0029;0,0029;0,0030;TRUE;TRUE
Cognitive and cognitive behavioural therapies group + AD;-1,3304;-2,3521;-0,3087;-1,3322;-2,3557;-0,3087;WELL AK1A4006;1;Placebo;-0,0018;0,0018;0,0014;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual;-0,8540;-1,1770;-0,5311;-0,8565;-1,1800;-0,5329;WELL AK1A4006;1;Placebo;-0,0024;0,0024;0,0029;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + AD;-1,3372;-1,8771;-0,7973;-1,3403;-1,8812;-0,7995;WELL AK1A4006;1;Placebo;-0,0032;0,0032;0,0024;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + placebo;-1,3101;-2,1924;-0,4278;-1,3130;-2,1968;-0,4292;WELL AK1A4006;1;Placebo;-0,0029;0,0029;0,0022;TRUE;TRUE
Counselling individual;-0,6775;-1,2871;-0,0679;-0,6797;-1,2905;-0,0690;WELL AK1A4006;1;Placebo;-0,0022;0,0022;0,0033;TRUE;TRUE
Counselling individual + AD;-0,1937;-1,5170;1,1296;-0,1950;-1,5203;1,1302;WELL AK1A4006;1;Placebo;-0,0014;0,0014;0,0070;TRUE;TRUE
Counselling individual + placebo;0,1501;-1,6724;1,9726;0,1487;-1,6766;1,9741;WELL AK1A4006;1;Placebo;-0,0014;0,0014;0,0091;TRUE;TRUE
Exercise group;-0,8993;-1,6153;-0,1832;-0,9016;-1,6189;-0,1843;WELL AK1A4006;1;Placebo;-0,0024;0,0024;0,0026;TRUE;TRUE
Exercise group + AD;-3,4467;-4,6928;-2,2006;-3,4501;-4,6983;-2,2018;WELL AK1A4006;1;Placebo;-0,0034;0,0034;0,0010;TRUE;TRUE
