removed_study;component_id;component_reference;model_fit;reason;n_removed_studies;n_remaining_studies;frac_remaining_studies;n_estimable_treatments;max_abs_delta;median_abs_delta;p90_abs_delta
Scott 1992;1;Placebo;TRUE;ok;1;310;0,9968;50;0,1331;0,0073;0,0181
Solati 2016;1;Placebo;TRUE;ok;1;310;0,9968;50;0,1327;0,0000;0,0002
Husain 2014;1;Placebo;TRUE;ok;1;310;0,9968;50;0,1266;0,0158;0,0288
Judd 2001;1;Placebo;TRUE;ok;1;310;0,9968;50;0,1252;0,0068;0,0345
Ai 2018;1;Placebo;TRUE;ok;1;310;0,9968;50;0,1246;0,0002;0,0005
Marshall 2008;1;Placebo;TRUE;ok;1;310;0,9968;50;0,1233;0,0043;0,0970
Perahia 2006;1;Placebo;TRUE;ok;1;310;0,9968;50;0,1216;0,0085;0,0225
Wang 2014a;1;Placebo;TRUE;ok;1;310;0,9968;50;0,1152;0,0001;0,0003
Kay-Lambkin 2011/2017;1;Placebo;TRUE;ok;1;310;0,9968;50;0,1152;0,0004;0,0262
Alexopoulos 2003b;1;Placebo;TRUE;ok;1;310;0,9968;50;0,1032;0,0044;0,0132
Lam 2016;1;Placebo;TRUE;ok;1;310;0,9968;49;0,1015;0,0013;0,0019
Zhang 2007a;1;Placebo;TRUE;ok;1;310;0,9968;50;0,1000;0,0000;0,0001
Wang 2013;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0934;0,0029;0,0107
Jamison 1995;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0924;0,0020;0,0184
Kinoshita 2009;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0918;0,0096;0,0137
Salminen 2008;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0869;0,0060;0,0113
Elkin 1989/Imber 1990;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0848;0,0102;0,0248
Bowman 1995;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0770;0,0017;0,0153
Hollon 1992;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0767;0,0028;0,0079
Ozdemir 2015;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0746;0,0002;0,0004
Jiahui 2006;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0722;0,0022;0,0082
Thase 2018;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0655;0,0021;0,0103
Hermens 2007;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0625;0,0107;0,0257
Hamamci 2006;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0581;0,0022;0,0134
Wright 2005;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0569;0,0029;0,0205
Mynors-Wallis 1995;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0550;0,0035;0,0133
Quah-Smith 2013;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0514;0,0007;0,0027
Rush 1977/Kovacs 1981;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0500;0,0212;0,0323
Luo 1985;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0463;0,0009;0,0045
Beach 1992;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0422;0,0022;0,0153
Ward 2000/King 2000;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0414;0,0011;0,0056
Lindegaard 2019;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0410;0,0014;0,0102
Detke 2004;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0370;0,0028;0,0069
Moises 1981;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0358;0,0017;0,0024
Schweizer 1991;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0347;0,0088;0,0121
Zhao 2006;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0345;0,0005;0,0009
Hatcher 2018;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0333;0,0008;0,0115
Fudge 1990;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0326;0,0004;0,0008
Smeraldi 1998b;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0311;0,0015;0,0020
Beasley 1991a;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0310;0,0004;0,0009
Feighner 1982;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0289;0,0136;0,0165
Kasper 2005a;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0287;0,0133;0,0219
Choi 2012;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0285;0,0010;0,0070
Van Moffaert 1995b;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0275;0,0001;0,0004
Kennedy 2007;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0267;0,0127;0,0174
Naeem 2014;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0265;0,0003;0,0052
E-1569;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0251;0,0005;0,0012
Munizza 2006;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0250;0,0003;0,0008
Guelfi 2001;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0249;0,0004;0,0014
MIR 003-003 (FDA);1;Placebo;TRUE;ok;1;310;0,9968;50;0,0241;0,0027;0,0031
Naeem 2015;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0239;0,0016;0,0080
Arean 2010;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0234;0,0009;0,0030
MIR 003-021 (FDA);1;Placebo;TRUE;ok;1;310;0,9968;50;0,0226;0,0013;0,0020
White 1984;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0207;0,0105;0,0119
Blashki 1971;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0199;0,0098;0,0113
Wheatley 1998;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0192;0,0004;0,0010
Khan 1991;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0179;0,0050;0,0058
