treatment_1,Acupuncture,Acupuncture + AD,Any AD,Any psychotherapy,Attention placebo,Behavioural therapies individual,Behavioural therapies individual + AD,Cognitive and cognitive behavioural therapies group,Cognitive and cognitive behavioural therapies group + AD,Cognitive and cognitive behavioural therapies individual,Cognitive and cognitive behavioural therapies individual + AD,Cognitive and cognitive behavioural therapies individual + placebo,Counselling individual,Counselling individual + AD,Counselling individual + placebo,Exercise group,Exercise group + AD,Exercise individual,Exercise individual + AD,Interpersonal psychotherapy (IPT) individual,Interpersonal psychotherapy (IPT) individual + AD,Interpersonal psychotherapy (IPT) individual + placebo,Light therapy,Light therapy + AD,Mindfulness or meditation group,Mirtazapine,Music therapy group,No treatment,Peer support group,Peer support group + AD,Placebo,Problem solving group,Problem solving individual,Psychoeducation group,Psychoeducation group + AD,Relaxation individual + AD,Relaxation individual + placebo,SNRIs,SSRIs,Self-help,Self-help with support,Sham acupuncture,Short-term psychodynamic psychotherapies individual,Short-term psychodynamic psychotherapies individual + AD,TAU,TCAs,Trazodone,Waitlist,Yoga group,Yoga group + AD
Cognitive and cognitive behavioural therapies individual + AD,0.5542943626409713,0.17788526635857652,0.8486076638987871,1.3607312459844005,1.4017658936151,1.5845205138117022,0.7218452188212017,0.5855691467563775,0.5156228946495066,0.6767980205891461,NA,0.35784821564886504,0.7623564957090442,1.0240918562068155,1.1967273983560702,0.6197149573145451,-0.6648358453124292,0.6901716513743874,0.37062870187237895,0.8446174224575124,0.7436353680270581,0.8673573717934057,0.6323030681267107,0.4820683135304949,-1.0319454783451232,0.7503661887791494,0.7018427458416895,1.0342844625057965,0.5047389329493048,0.4443014597722273,1.0555652016455204,-0.40400433470121083,0.6109862799454563,0.41584514131972705,0.93659485025095,0.6769339587203975,0.9920190640840162,0.7692914003411774,0.7973353919393185,0.7938834886101994,0.8065079356421293,0.9689862169425433,0.7798740312735004,0.901454907890668,0.917515280409232,0.7551290817415544,0.872009674774711,1.4939630798954202,0.6676109448472611,0.25395242983749705
Cognitive and cognitive behavioural therapies individual + placebo,0.49870299516546085,0.12229389888306609,0.7930162964232765,1.3051398785088901,1.3461745261395897,1.5289291463361918,0.6662538513456912,0.5299777792808671,0.46003152717399615,0.6212066531136357,0.24666548069784416,NA,0.7067651282335338,0.9685004887313051,1.1411360308805598,0.5641235898390347,-0.7204272127879398,0.634580283898877,0.31503733439686854,0.789026054982002,0.6880440005515476,0.8117660043178953,0.5767117006512003,0.42647694605498443,-1.0875368458206336,0.694774821303639,0.6462513783661791,0.9786930950302862,0.44914756547379436,0.3887100922967168,0.99997383417001,-0.45959570217672135,0.5553949124699459,0.3602537738442166,0.8810034827754396,0.6213425912448871,0.9364276966085058,0.713700032865667,0.741744024463808,0.738292121134689,0.7509165681666189,0.9133948494670329,0.7242826637979899,0.8458635404151575,0.8619239129337216,0.6995377142660438,0.8164183072992006,1.4383717124199098,0.6120195773717507,0.1983610623619866
Counselling individual,0.09419471510528171,-0.28221438117711306,0.3885080163630974,0.9006315984487109,0.9416662460794104,1.1244208662760127,0.261745571285512,0.1254694992206879,0.05552324711381701,0.21669837305345652,-0.15784279936233503,-0.10225143188682456,NA,0.563992208671126,0.7366277508203807,0.15961530977885546,-1.1249354928481188,0.23007200383869783,-0.08947094566331062,0.3845177749218228,0.28353572049136844,0.40725772425771606,0.17220342059102114,0.021968665994805292,-1.4920451258808127,0.29026654124345985,0.2417430983059999,0.574184814970107,0.044639285413615205,-0.015798187763462295,0.5954655541098308,-0.8641039822369004,0.15088663240976674,-0.044254506215962545,0.4764952027152604,0.21683431118470792,0.5319194165483266,0.30919175280548783,0.3372357444036289,0.3337838410745098,0.34640828810643975,0.5088865694068537,0.3197743837378108,0.44135526035497835,0.4574156328735424,0.2950294342058647,0.4119100272390214,1.0338634323597307,0.2075112973115716,-0.20614721769819255
Counselling individual + AD,-0.16754064539248972,-0.5439497416748845,0.12677265586532602,0.6388962379509395,0.679930885581639,0.8626855057782412,1.02107877406537e-5,-0.13626586127708346,-0.20621211338395443,-0.045036987444314905,-0.4195781598601064,-0.36398679238459597,0.04052148767558319,NA,0.4748923903226092,-0.10212005071891597,-1.3866708533458902,-0.03166335665907359,-0.35120630616108206,0.12278241442405141,0.02180035999359707,0.14552236375994468,-0.08953193990675029,-0.23976669450296617,-1.7537804863785842,0.02853118074568845,-0.019992262191771516,0.31244945447233563,-0.21709607508415615,-0.2775335482612337,0.3337301936120594,-1.1258393427346718,-0.11084872808800468,-0.305989866713734,0.21475984221748903,-0.04490104931306351,0.27018405605055523,0.04745639230771642,0.07550038390585746,0.07204848057673842,0.08467292760866836,0.24715120890908224,0.05803902324003943,0.17961989985720694,0.19568027237577104,0.033294073708093334,0.15017466674125002,0.7721280718619592,-0.05422406318619983,-0.4678825781959639
Counselling individual + placebo,-0.3401761875417443,-0.7165852838241392,-0.045862886283928615,0.4662606958016849,0.5072953434323844,0.6900499636289866,-0.17262533136151398,-0.30890140342633815,-0.378847655533209,-0.21767252959356956,-0.592213702009361,-0.5366223345338506,-0.13211405447367136,0.1296213060241,NA,-0.27475559286817053,-1.5593063954951447,-0.20429889880832822,-0.5238418483103366,-0.04985312772520324,-0.15083518215565755,-0.02711317838930998,-0.26216748205600493,-0.41240223665222075,-1.9264160285278387,-0.1441043614035662,-0.19262780434102608,0.139813912323081,-0.3897316172334108,-0.45016909041048836,0.1610946514628048,-1.2984748848839265,-0.28348427023725936,-0.47862540886298854,0.04212430006823445,-0.21753659146231807,0.09754851390130061,-0.12517914984153822,-0.09713515824339711,-0.10058706157251614,-0.08796261454058628,0.07451566675982767,-0.11459651890921523,0.006984357707952377,0.023044730226516468,-0.1393414684411613,-0.022460875408004545,0.5994925297127046,-0.22685960533545443,-0.6405181203452186
Exercise group,0.23683625349978085,-0.13957284278261392,0.5311495547575965,1.04327313684321,1.0843077844739095,1.2670624046705117,0.4043871096800112,0.268111037615187,0.19816478550831615,0.35933991144795563,-0.015201260967835866,0.0403901065076746,0.44489838656785374,0.7066337470656251,0.8792692892148798,NA,-0.9822939544536197,0.37271354223319697,0.05317059273118852,0.5271593133163219,0.4261772588858676,0.5498992626522152,0.31484495898552023,0.16461020438930443,-1.3494035874863135,0.43290807963795896,0.38438463670049905,0.7168263533646061,0.18728082380811434,0.12684335063103677,0.7381070925043299,-0.7214624438424014,0.29352817080426585,0.09838703217853659,0.6191367411097596,0.3594758495792071,0.6745609549428258,0.45183329119998694,0.479877282798128,0.476425379469009,0.4890498265009389,0.6515281078013528,0.4624159221323099,0.5839967987494775,0.6000571712680416,0.43767097260036386,0.5545515656335206,1.1765049707542297,0.3501528357060707,-0.06350567930369343
Exercise group + AD,1.521387056126755,1.1449779598443603,1.815700357384571,2.3278239394701843,2.368858587100884,2.551613207297486,1.6889379123069854,1.5526618402421613,1.4827155881352905,1.64389071407493,1.2693495416591383,1.324940909134649,1.729449189194828,1.9911845496925995,2.163820091841854,1.5868076508003288,NA,1.6572643448601712,1.3377213953581628,1.8117101159432962,1.710728061512842,1.8344500652791895,1.5993957616124945,1.4491610070162786,-0.06485278485933937,1.7174588822649333,1.6689354393274733,2.0013771559915803,1.4718316264350886,1.411394153258011,2.0226578951313043,0.563088358784573,1.5780789734312402,1.3829378348055108,1.9036875437367338,1.6440266522061813,1.9591117575698,1.7363840938269612,1.7644280854251022,1.7609761820959833,1.7736006291279132,1.9360789104283271,1.7469667247592842,1.8685476013764517,1.8846079738950159,1.722221775227338,1.8391023682604948,2.461055773381204,1.6347036383330449,1.2210451233232809
Exercise individual,0.16637955943993848,-0.2100295368424563,0.46069286069775417,0.9728164427833677,1.0138510904140672,1.1966057106106693,0.3339304156201688,0.19765434355534467,0.12770809144847378,0.2888832173881133,-0.08565795502767826,-0.03006658755216778,0.37444169250801135,0.6361770530057828,0.8088125951550373,0.23180015411351224,-1.0527506485134621,NA,-0.017286101328653856,0.4567026192564796,0.3557205648260252,0.47944256859237283,0.24438826492567792,0.09415351032946205,-1.419860281546156,0.3624513855781166,0.31392794264065665,0.6463696593047638,0.11682412974827197,0.05638665657119446,0.6676503984444876,-0.7919191379022437,0.2230714767444235,0.027930338118694213,0.5486800470499172,0.2890191555193647,0.6041042608829834,0.3813765971401446,0.40942058873828563,0.4059686854091666,0.4185931324410965,0.5810714137415104,0.3919592280724676,0.5135401046896352,0.5296004772081992,0.36721427854052147,0.4840948715736782,1.1060482766943875,0.27969614164622836,-0.1339623733635358
Exercise individual + AD,0.48592250894194694,0.10951341265955217,0.7802358101997626,1.2923593922853762,1.3333940399160755,1.516148660112678,0.6534733651221772,0.5171972930573531,0.44725104095048224,0.6084261668901217,0.23388499447433023,0.28947636194984067,0.6939846420100199,0.9557200025077912,1.128355544657046,0.5513431036155207,-0.7332076990114536,0.6217997976753631,NA,0.776245568758488,0.6752635143280337,0.7989855180943813,0.5639312144276863,0.4136964598314705,-1.1003173320441475,0.6819943350801251,0.6334708921426652,0.9659126088067722,0.43636707925028045,0.3759296060732029,0.987193347946496,-0.47237618840023515,0.542614426246432,0.3474732876207027,0.8682229965519257,0.6085621050213732,0.9236472103849919,0.7009195466421531,0.7289635382402941,0.7255116349111751,0.738136081943105,0.900614363243519,0.7115021775744761,0.8330830541916436,0.8491434267102077,0.6867572280425299,0.8036378210756867,1.4255912261963959,0.5992390911482368,0.18558057613847267
Interpersonal psychotherapy (IPT) individual,0.011933788356813508,-0.3644753079255813,0.3062470896146292,0.8183706717002427,0.8594053193309422,1.0421599395275443,0.1794846445370438,0.043208572472219674,-0.026737679634651203,0.1344374463049883,-0.24010372611080327,-0.18451235863529278,0.2199959214248864,0.4817312819226578,0.6543668240719124,0.07735438303038726,-1.207196419596587,0.14781107709022961,-0.17173187241177884,NA,0.20127479374290022,0.32499679750924787,0.08994249384255293,-0.060292260753662924,-1.574306052629281,0.20800561449499166,0.1594821715575317,0.4919238882216388,-0.03762164133485302,-0.09805911451193051,0.5132046273613626,-0.9463649089853687,0.06862570566129851,-0.12651543296443077,0.3942342759667922,0.13457338443623973,0.44965848979985845,0.22693082605701964,0.25497481765516067,0.2515229143260416,0.26414736135797157,0.4266256426583855,0.23751345698934256,0.35909433360651016,0.37515470612507423,0.21276850745739648,0.32964910049055324,0.9516025056112625,0.1252503705631034,-0.28840814444666074
