comparison,TE,seTE,lower,upper,statistic,p,z
Any psychotherapy:TCAs,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Trazodone,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Waitlist,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Yoga group,NA,NA,NA,NA,NA,NA,NA
Any psychotherapy:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Behavioural therapies individual,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Behavioural therapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Cognitive and cognitive behavioural therapies group,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Cognitive and cognitive behavioural therapies group + AD,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Cognitive and cognitive behavioural therapies individual,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Cognitive and cognitive behavioural therapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Cognitive and cognitive behavioural therapies individual + placebo,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Counselling individual,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Counselling individual + AD,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Counselling individual + placebo,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Exercise group,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Exercise group + AD,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Exercise individual,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Exercise individual + AD,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Interpersonal psychotherapy (IPT) individual,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Interpersonal psychotherapy (IPT) individual + AD,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Interpersonal psychotherapy (IPT) individual + placebo,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Light therapy,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Light therapy + AD,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Mindfulness or meditation group,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Mirtazapine,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Music therapy group,NA,NA,NA,NA,NA,NA,NA
Attention placebo:No treatment,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Peer support group,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Peer support group + AD,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Placebo,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Problem solving group,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Problem solving individual,1.6849795940240713,0.9773160889622482,-0.23052474185347815,3.6004839299016207,1.7240886679899514,0.08469183749087446,1.7240886679899514
Attention placebo:Psychoeducation group,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Psychoeducation group + AD,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Relaxation individual + AD,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Self-help,-1.6849795940240924,0.977316088962248,-3.6004839299016416,0.23052474185345662,-1.7240886679899734,0.08469183749087052,-1.7240886679899734
Attention placebo:Self-help with support,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Attention placebo:SNRIs,NA,NA,NA,NA,NA,NA,NA
Attention placebo:SSRIs,NA,NA,NA,NA,NA,NA,NA
Attention placebo:TAU,NA,NA,NA,NA,NA,NA,NA
Attention placebo:TCAs,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Trazodone,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Waitlist,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Yoga group,NA,NA,NA,NA,NA,NA,NA
Attention placebo:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Behavioural therapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Cognitive and cognitive behavioural therapies group,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Cognitive and cognitive behavioural therapies group + AD,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Cognitive and cognitive behavioural therapies individual,2.1221568365765324,0.7184770731469043,0.7139676494908502,3.5303460236622146,2.95368762051315,0.003140016718305283,2.95368762051315
Behavioural therapies individual:Cognitive and cognitive behavioural therapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Cognitive and cognitive behavioural therapies individual + placebo,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Counselling individual,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Counselling individual + AD,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Counselling individual + placebo,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Exercise group,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Exercise group + AD,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Exercise individual,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Exercise individual + AD,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Interpersonal psychotherapy (IPT) individual,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Interpersonal psychotherapy (IPT) individual + AD,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Interpersonal psychotherapy (IPT) individual + placebo,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Light therapy,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Light therapy + AD,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Mindfulness or meditation group,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Mirtazapine,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Music therapy group,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:No treatment,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Peer support group,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Peer support group + AD,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Placebo,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Problem solving group,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Problem solving individual,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Psychoeducation group,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Psychoeducation group + AD,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Relaxation individual + AD,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Self-help,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Self-help with support,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:SNRIs,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:SSRIs,-1.8083645459666582,0.7611231617131036,-3.300138530723596,-0.3165905612097202,-2.375915800402747,0.01750545688153671,-2.375915800402747
