comparison,TE,seTE,lower,upper,statistic,p,z
Counselling individual + AD:Light therapy,NA,NA,NA,NA,NA,NA,NA
Counselling individual + AD:Light therapy + AD,NA,NA,NA,NA,NA,NA,NA
Counselling individual + AD:Mindfulness or meditation group,NA,NA,NA,NA,NA,NA,NA
Counselling individual + AD:Mirtazapine,NA,NA,NA,NA,NA,NA,NA
Counselling individual + AD:Music therapy group,NA,NA,NA,NA,NA,NA,NA
Counselling individual + AD:No treatment,NA,NA,NA,NA,NA,NA,NA
Counselling individual + AD:Peer support group,NA,NA,NA,NA,NA,NA,NA
Counselling individual + AD:Peer support group + AD,NA,NA,NA,NA,NA,NA,NA
Counselling individual + AD:Placebo,NA,NA,NA,NA,NA,NA,NA
Counselling individual + AD:Problem solving group,NA,NA,NA,NA,NA,NA,NA
Counselling individual + AD:Problem solving individual,NA,NA,NA,NA,NA,NA,NA
Counselling individual + AD:Psychoeducation group,NA,NA,NA,NA,NA,NA,NA
Counselling individual + AD:Psychoeducation group + AD,NA,NA,NA,NA,NA,NA,NA
Counselling individual + AD:Relaxation individual + AD,NA,NA,NA,NA,NA,NA,NA
Counselling individual + AD:Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA
Counselling individual + AD:Self-help,NA,NA,NA,NA,NA,NA,NA
Counselling individual + AD:Self-help with support,NA,NA,NA,NA,NA,NA,NA
Counselling individual + AD:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Counselling individual + AD:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
Counselling individual + AD:Short-term psychodynamic psychotherapies individual + AD,-0.39887845706444125,1.3485476579758093,-3.041983298132866,2.2442263840039836,-0.2957837305232237,0.7673952485237269,-0.2957837305232237
Counselling individual + AD:SNRIs,NA,NA,NA,NA,NA,NA,NA
Counselling individual + AD:SSRIs,NA,NA,NA,NA,NA,NA,NA
Counselling individual + AD:TAU,NA,NA,NA,NA,NA,NA,NA
Counselling individual + AD:TCAs,NA,NA,NA,NA,NA,NA,NA
Counselling individual + AD:Trazodone,NA,NA,NA,NA,NA,NA,NA
Counselling individual + AD:Waitlist,NA,NA,NA,NA,NA,NA,NA
Counselling individual + AD:Yoga group,NA,NA,NA,NA,NA,NA,NA
Counselling individual + AD:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:Exercise group,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:Exercise group + AD,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:Exercise individual,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:Exercise individual + AD,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:Interpersonal psychotherapy (IPT) individual,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:Interpersonal psychotherapy (IPT) individual + AD,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:Interpersonal psychotherapy (IPT) individual + placebo,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:Light therapy,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:Light therapy + AD,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:Mindfulness or meditation group,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:Mirtazapine,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:Music therapy group,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:No treatment,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:Peer support group,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:Peer support group + AD,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:Placebo,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:Problem solving group,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:Problem solving individual,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:Psychoeducation group,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:Psychoeducation group + AD,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:Relaxation individual + AD,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:Self-help,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:Self-help with support,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:SNRIs,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:SSRIs,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:TAU,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:TCAs,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:Trazodone,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:Waitlist,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:Yoga group,NA,NA,NA,NA,NA,NA,NA
Counselling individual + placebo:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Exercise group:Exercise group + AD,NA,NA,NA,NA,NA,NA,NA
Exercise group:Exercise individual,0.28527334613858973,0.9008653476332538,-1.4803902901427428,2.0509369824199224,0.31666591115759707,0.7514971175180882,0.31666591115759707
Exercise group:Exercise individual + AD,NA,NA,NA,NA,NA,NA,NA
Exercise group:Interpersonal psychotherapy (IPT) individual,NA,NA,NA,NA,NA,NA,NA
Exercise group:Interpersonal psychotherapy (IPT) individual + AD,NA,NA,NA,NA,NA,NA,NA
Exercise group:Interpersonal psychotherapy (IPT) individual + placebo,NA,NA,NA,NA,NA,NA,NA
Exercise group:Light therapy,NA,NA,NA,NA,NA,NA,NA
Exercise group:Light therapy + AD,NA,NA,NA,NA,NA,NA,NA
Exercise group:Mindfulness or meditation group,NA,NA,NA,NA,NA,NA,NA
Exercise group:Mirtazapine,NA,NA,NA,NA,NA,NA,NA
Exercise group:Music therapy group,NA,NA,NA,NA,NA,NA,NA
Exercise group:No treatment,0.62437285821495625,0.8034687036464716,-0.9503968636372137,2.199142580067126,0.7770966751801225,0.4371017354347014,0.7770966751801225
Exercise group:Peer support group,NA,NA,NA,NA,NA,NA,NA
Exercise group:Peer support group + AD,NA,NA,NA,NA,NA,NA,NA
Exercise group:Placebo,1.160412443844303,0.7604360838484744,-0.33001489304338705,2.6508397807319932,1.5259828781027815,0.127014128640749,1.5259828781027815
Exercise group:Problem solving group,NA,NA,NA,NA,NA,NA,NA
Exercise group:Problem solving individual,NA,NA,NA,NA,NA,NA,NA
Exercise group:Psychoeducation group,NA,NA,NA,NA,NA,NA,NA
Exercise group:Psychoeducation group + AD,NA,NA,NA,NA,NA,NA,NA
Exercise group:Relaxation individual + AD,NA,NA,NA,NA,NA,NA,NA
Exercise group:Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA
Exercise group:Self-help,NA,NA,NA,NA,NA,NA,NA
Exercise group:Self-help with support,NA,NA,NA,NA,NA,NA,NA
Exercise group:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Exercise group:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
Exercise group:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Exercise group:SNRIs,NA,NA,NA,NA,NA,NA,NA
Exercise group:SSRIs,0.3418273870102717,0.758831514864412,-1.145455052457946,1.8291098264784895,0.4504654594786425,0.6523748543506198,0.4504654594786425
Exercise group:TAU,-1.6653365019581272,0.8257740119327045,-3.283823824715377,-0.04684917920087783,-2.0166976411142397,0.04372707625711439,-2.0166976411142397
Exercise group:TCAs,NA,NA,NA,NA,NA,NA,NA
Exercise group:Trazodone,NA,NA,NA,NA,NA,NA,NA
Exercise group:Waitlist,NA,NA,NA,NA,NA,NA,NA
Exercise group:Yoga group,NA,NA,NA,NA,NA,NA,NA
Exercise group:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Exercise group + AD:Exercise individual,NA,NA,NA,NA,NA,NA,NA
Exercise group + AD:Exercise individual + AD,NA,NA,NA,NA,NA,NA,NA
Exercise group + AD:Interpersonal psychotherapy (IPT) individual,NA,NA,NA,NA,NA,NA,NA
Exercise group + AD:Interpersonal psychotherapy (IPT) individual + AD,NA,NA,NA,NA,NA,NA,NA
Exercise group + AD:Interpersonal psychotherapy (IPT) individual + placebo,NA,NA,NA,NA,NA,NA,NA
Exercise group + AD:Light therapy,NA,NA,NA,NA,NA,NA,NA
Exercise group + AD:Light therapy + AD,NA,NA,NA,NA,NA,NA,NA
Exercise group + AD:Mindfulness or meditation group,NA,NA,NA,NA,NA,NA,NA
Exercise group + AD:Mirtazapine,NA,NA,NA,NA,NA,NA,NA
Exercise group + AD:Music therapy group,NA,NA,NA,NA,NA,NA,NA
Exercise group + AD:No treatment,NA,NA,NA,NA,NA,NA,NA
Exercise group + AD:Peer support group,NA,NA,NA,NA,NA,NA,NA
Exercise group + AD:Peer support group + AD,NA,NA,NA,NA,NA,NA,NA
Exercise group + AD:Placebo,NA,NA,NA,NA,NA,NA,NA
Exercise group + AD:Problem solving group,NA,NA,NA,NA,NA,NA,NA
Exercise group + AD:Problem solving individual,NA,NA,NA,NA,NA,NA,NA
Exercise group + AD:Psychoeducation group,NA,NA,NA,NA,NA,NA,NA
Exercise group + AD:Psychoeducation group + AD,NA,NA,NA,NA,NA,NA,NA
Exercise group + AD:Relaxation individual + AD,NA,NA,NA,NA,NA,NA,NA
Exercise group + AD:Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA
Exercise group + AD:Self-help,NA,NA,NA,NA,NA,NA,NA
Exercise group + AD:Self-help with support,NA,NA,NA,NA,NA,NA,NA
Exercise group + AD:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Exercise group + AD:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
Exercise group + AD:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Exercise group + AD:SNRIs,NA,NA,NA,NA,NA,NA,NA
Exercise group + AD:SSRIs,NA,NA,NA,NA,NA,NA,NA
Exercise group + AD:TAU,NA,NA,NA,NA,NA,NA,NA
Exercise group + AD:TCAs,NA,NA,NA,NA,NA,NA,NA
Exercise group + AD:Trazodone,NA,NA,NA,NA,NA,NA,NA
Exercise group + AD:Waitlist,NA,NA,NA,NA,NA,NA,NA
Exercise group + AD:Yoga group,NA,NA,NA,NA,NA,NA,NA
Exercise group + AD:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Exercise individual:Exercise individual + AD,-0.9454646762814083,1.063523196751532,-3.0299318386373164,1.1390024860744996,-0.8889929990895108,0.37400684233367426,-0.8889929990895108
Exercise individual:Interpersonal psychotherapy (IPT) individual,NA,NA,NA,NA,NA,NA,NA
Exercise individual:Interpersonal psychotherapy (IPT) individual + AD,NA,NA,NA,NA,NA,NA,NA
Exercise individual:Interpersonal psychotherapy (IPT) individual + placebo,NA,NA,NA,NA,NA,NA,NA
Exercise individual:Light therapy,NA,NA,NA,NA,NA,NA,NA
Exercise individual:Light therapy + AD,NA,NA,NA,NA,NA,NA,NA
Exercise individual:Mindfulness or meditation group,NA,NA,NA,NA,NA,NA,NA
Exercise individual:Mirtazapine,NA,NA,NA,NA,NA,NA,NA
Exercise individual:Music therapy group,NA,NA,NA,NA,NA,NA,NA
Exercise individual:No treatment,0.01657686098486577,0.7358974353897175,-1.4257556086943717,1.4589093306641032,0.022526048043756228,0.9820283339351423,0.022526048043756228
Exercise individual:Peer support group,NA,NA,NA,NA,NA,NA,NA
Exercise individual:Peer support group + AD,NA,NA,NA,NA,NA,NA,NA
Exercise individual:Placebo,0.9347824098433793,0.7503902811014835,-0.5359555154644152,2.405520335151174,1.245728300839971,0.21286415997508507,1.245728300839971
Exercise individual:Problem solving group,NA,NA,NA,NA,NA,NA,NA
Exercise individual:Problem solving individual,NA,NA,NA,NA,NA,NA,NA
Exercise individual:Psychoeducation group,NA,NA,NA,NA,NA,NA,NA
Exercise individual:Psychoeducation group + AD,NA,NA,NA,NA,NA,NA,NA
Exercise individual:Relaxation individual + AD,NA,NA,NA,NA,NA,NA,NA
Exercise individual:Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA
Exercise individual:Self-help,NA,NA,NA,NA,NA,NA,NA
Exercise individual:Self-help with support,NA,NA,NA,NA,NA,NA,NA
Exercise individual:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Exercise individual:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
Exercise individual:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Exercise individual:SNRIs,NA,NA,NA,NA,NA,NA,NA
Exercise individual:SSRIs,0.36820049712275804,0.7296990104609162,-1.0619832829351536,1.7983842771806695,0.5045922933213014,0.6138452238413031,0.5045922933213014
Exercise individual:TAU,NA,NA,NA,NA,NA,NA,NA
Exercise individual:TCAs,NA,NA,NA,NA,NA,NA,NA
Exercise individual:Trazodone,NA,NA,NA,NA,NA,NA,NA
Exercise individual:Waitlist,NA,NA,NA,NA,NA,NA,NA
Exercise individual:Yoga group,NA,NA,NA,NA,NA,NA,NA
Exercise individual:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Exercise individual + AD:Interpersonal psychotherapy (IPT) individual,NA,NA,NA,NA,NA,NA,NA
Exercise individual + AD:Interpersonal psychotherapy (IPT) individual + AD,NA,NA,NA,NA,NA,NA,NA
Exercise individual + AD:Interpersonal psychotherapy (IPT) individual + placebo,NA,NA,NA,NA,NA,NA,NA
Exercise individual + AD:Light therapy,NA,NA,NA,NA,NA,NA,NA
Exercise individual + AD:Light therapy + AD,NA,NA,NA,NA,NA,NA,NA
Exercise individual + AD:Mindfulness or meditation group,NA,NA,NA,NA,NA,NA,NA
Exercise individual + AD:Mirtazapine,NA,NA,NA,NA,NA,NA,NA
Exercise individual + AD:Music therapy group,NA,NA,NA,NA,NA,NA,NA
Exercise individual + AD:No treatment,1.8936691702487933,0.9588648279445308,0.014328641435317868,3.7730096990622686,1.9749073227643092,0.04827866624572493,1.9749073227643092
Exercise individual + AD:Peer support group,NA,NA,NA,NA,NA,NA,NA
Exercise individual + AD:Peer support group + AD,NA,NA,NA,NA,NA,NA,NA
Exercise individual + AD:Placebo,NA,NA,NA,NA,NA,NA,NA
Exercise individual + AD:Problem solving group,NA,NA,NA,NA,NA,NA,NA
Exercise individual + AD:Problem solving individual,NA,NA,NA,NA,NA,NA,NA
Exercise individual + AD:Psychoeducation group,NA,NA,NA,NA,NA,NA,NA
Exercise individual + AD:Psychoeducation group + AD,NA,NA,NA,NA,NA,NA,NA
Exercise individual + AD:Relaxation individual + AD,NA,NA,NA,NA,NA,NA,NA
Exercise individual + AD:Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA
Exercise individual + AD:Self-help,NA,NA,NA,NA,NA,NA,NA
Exercise individual + AD:Self-help with support,NA,NA,NA,NA,NA,NA,NA
Exercise individual + AD:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Exercise individual + AD:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
Exercise individual + AD:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Exercise individual + AD:SNRIs,NA,NA,NA,NA,NA,NA,NA
Exercise individual + AD:SSRIs,1.1157411023517296,0.932865212589756,-0.7126411167544926,2.944123321457952,1.1960367771184073,0.23168220756970548,1.1960367771184073
Exercise individual + AD:TAU,NA,NA,NA,NA,NA,NA,NA
Exercise individual + AD:TCAs,NA,NA,NA,NA,NA,NA,NA
Exercise individual + AD:Trazodone,NA,NA,NA,NA,NA,NA,NA
Exercise individual + AD:Waitlist,NA,NA,NA,NA,NA,NA,NA
Exercise individual + AD:Yoga group,NA,NA,NA,NA,NA,NA,NA
Exercise individual + AD:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual:Interpersonal psychotherapy (IPT) individual + AD,0.08800831287537436,0.847892452879002,-1.573830357530794,1.7498469832815426,0.10379655176378076,0.9173308029833943,0.10379655176378076
Interpersonal psychotherapy (IPT) individual:Interpersonal psychotherapy (IPT) individual + placebo,0.3981234669525843,0.9444705673725421,-1.4530048295557083,2.249251763460877,0.4215308350583532,0.6733674997568595,0.4215308350583532
Interpersonal psychotherapy (IPT) individual:Light therapy,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual:Light therapy + AD,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual:Mindfulness or meditation group,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual:Mirtazapine,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual:Music therapy group,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual:No treatment,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual:Peer support group,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual:Peer support group + AD,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual:Placebo,0.06148618366812042,0.7178941526998439,-1.3455605003354714,1.4685328676717122,0.08564797949235865,0.9317462564399678,0.08564797949235865
Interpersonal psychotherapy (IPT) individual:Problem solving group,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual:Problem solving individual,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual:Psychoeducation group,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual:Psychoeducation group + AD,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual:Relaxation individual + AD,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual:Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual:Self-help,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual:Self-help with support,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual:SNRIs,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual:SSRIs,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual:TAU,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual:TCAs,-0.12182905918102728,0.7175720877165274,-1.5282445074166373,1.2845863890545826,-0.16977954029498865,0.8651835177934413,-0.16977954029498865
Interpersonal psychotherapy (IPT) individual:Trazodone,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual:Waitlist,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual:Yoga group,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + AD:Interpersonal psychotherapy (IPT) individual + placebo,0.32724136044254565,1.0054107980716787,-1.6433275934456169,2.2978103143307083,0.3254802525198418,0.7448176259161372,0.3254802525198418
Interpersonal psychotherapy (IPT) individual + AD:Light therapy,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + AD:Light therapy + AD,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + AD:Mindfulness or meditation group,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + AD:Mirtazapine,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + AD:Music therapy group,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + AD:No treatment,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + AD:Peer support group,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + AD:Peer support group + AD,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + AD:Placebo,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + AD:Problem solving group,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + AD:Problem solving individual,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + AD:Psychoeducation group,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + AD:Psychoeducation group + AD,1.4428754611532197,1.580035342574954,-1.6539369045940957,4.539687826900535,0.9131918902534121,0.36114162839944713,0.9131918902534121
Interpersonal psychotherapy (IPT) individual + AD:Relaxation individual + AD,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + AD:Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + AD:Self-help,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + AD:Self-help with support,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + AD:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + AD:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + AD:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + AD:SNRIs,-0.40718154615671986,0.825427021514993,-2.024988780192274,1.2106256878788344,-0.4932980573005434,0.6218020008579389,-0.4932980573005434
Interpersonal psychotherapy (IPT) individual + AD:SSRIs,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + AD:TAU,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + AD:TCAs,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + AD:Trazodone,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + AD:Waitlist,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + AD:Yoga group,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + AD:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + placebo:Light therapy,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + placebo:Light therapy + AD,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + placebo:Mindfulness or meditation group,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + placebo:Mirtazapine,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + placebo:Music therapy group,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + placebo:No treatment,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + placebo:Peer support group,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + placebo:Peer support group + AD,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + placebo:Placebo,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + placebo:Problem solving group,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + placebo:Problem solving individual,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + placebo:Psychoeducation group,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + placebo:Psychoeducation group + AD,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + placebo:Relaxation individual + AD,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + placebo:Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + placebo:Self-help,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + placebo:Self-help with support,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + placebo:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + placebo:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + placebo:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + placebo:SNRIs,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + placebo:SSRIs,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + placebo:TAU,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + placebo:TCAs,0.9484221859197701,0.8751640119937378,-0.7668677581535355,2.6637121299930757,1.083707936937604,0.27849431539140723,1.083707936937604
Interpersonal psychotherapy (IPT) individual + placebo:Trazodone,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + placebo:Waitlist,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + placebo:Yoga group,NA,NA,NA,NA,NA,NA,NA
Interpersonal psychotherapy (IPT) individual + placebo:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Light therapy:Light therapy + AD,0.34769109661742437,1.6698943215740902,-2.925241631655739,3.620623824890588,0.20821143717027601,0.8350638787141839,0.20821143717027601
Light therapy:Mindfulness or meditation group,NA,NA,NA,NA,NA,NA,NA
Light therapy:Mirtazapine,NA,NA,NA,NA,NA,NA,NA
Light therapy:Music therapy group,NA,NA,NA,NA,NA,NA,NA
Light therapy:No treatment,NA,NA,NA,NA,NA,NA,NA
Light therapy:Peer support group,NA,NA,NA,NA,NA,NA,NA
Light therapy:Peer support group + AD,NA,NA,NA,NA,NA,NA,NA
Light therapy:Placebo,0.3841674497124701,1.1761557389290003,-1.9210554387984642,2.6893903382234043,0.3266297455320759,0.7439479427815563,0.3266297455320759
Light therapy:Problem solving group,NA,NA,NA,NA,NA,NA,NA
Light therapy:Problem solving individual,NA,NA,NA,NA,NA,NA,NA
Light therapy:Psychoeducation group,NA,NA,NA,NA,NA,NA,NA
Light therapy:Psychoeducation group + AD,NA,NA,NA,NA,NA,NA,NA
Light therapy:Relaxation individual + AD,NA,NA,NA,NA,NA,NA,NA
Light therapy:Relaxation individual + placebo,NA,NA,NA,NA,NA,NA,NA
Light therapy:Self-help,NA,NA,NA,NA,NA,NA,NA
Light therapy:Self-help with support,NA,NA,NA,NA,NA,NA,NA
Light therapy:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Light therapy:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
Light therapy:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Light therapy:SNRIs,NA,NA,NA,NA,NA,NA,NA
Light therapy:SSRIs,-0.5616203777534485,1.181306507184239,-2.876938586537363,1.753697831030466,-0.47542307973239417,0.6344854472693193,-0.47542307973239417
Light therapy:TAU,NA,NA,NA,NA,NA,NA,NA
Light therapy:TCAs,NA,NA,NA,NA,NA,NA,NA
Light therapy:Trazodone,NA,NA,NA,NA,NA,NA,NA
