study,treatment,mean,std.dev,sampleSize
Forest Research Institute 2005,trt_031,-0.9253203825281225,1,132
Forest Research Institute 2005,trt_039,-2.4252348735616116,1,266
Forlenza 2001,trt_039,-1.4171551105791127,1,27
Forlenza 2001,trt_046,-1.343838568580698,1,28
Freed 1999,trt_039,-1.9135397328143129,1,149
Freed 1999,trt_046,-1.6302926085220248,1,157
Fu 2003,trt_001,-3.793618933375298,1,32
Fu 2003,trt_039,-3.3174324563825826,1,30
Fudge 1990,trt_039,-2.2533310478765762,1,17
Fudge 1990,trt_047,-2.6035108728844225,1,15
GSK_29060/103,trt_039,-1.73747421329388,1,45
GSK_29060/103,trt_046,-1.6691465756924353,1,36
Gater 2010,trt_003,-0.17276960230077767,1,42
Gater 2010,trt_029,-0.8638480115038883,1,39
Gater 2010,trt_030,-0.9847867331144328,1,42
Gentil 2000,trt_038,-4.513591294529831,1,57
Gentil 2000,trt_046,-4.513591294529831,1,59
Georgotas 1982,trt_031,-1.3735639862535647,1,18
Georgotas 1982,trt_046,-2.4527928325956516,1,15
Godlewska 2012,trt_031,-0.5648664694711881,1,21
Godlewska 2012,trt_039,-0.7531552926282509,1,21
Golden 2002_448,trt_031,-0.9399506234240749,1,101
Golden 2002_448,trt_039,-2.2596792765144422,1,206
Golden 2002_449,trt_031,-0.9647593593607974,1,110
Golden 2002_449,trt_039,-2.402439973310221,1,218
Goldstein 2002,trt_031,-7.410422993944377,1,70
Goldstein 2002,trt_038,-7.660675003515483,1,70
Goldstein 2002,trt_039,-7.170049353172131,1,33
Goldstein 2004,trt_031,-2.81388343341064,1,89
Goldstein 2004,trt_038,-2.81388343341064,1,91
Goldstein 2004,trt_039,-2.81388343341064,1,87
Gual 2003,trt_031,-1.8836316604028718,1,39
Gual 2003,trt_039,-1.8836316604028718,1,44
Guelfi 1995,trt_031,-0.4646016715142394,1,47
Guelfi 1995,trt_038,-1.3744466115629583,1,46
Hamamci 2006,trt_008,-1.9995069105427203,1,10
Hamamci 2006,trt_028,-0.7962322161625476,1,11
Hamdan-Mansour 2009,trt_028,-0.3755141553289419,1,36
Hamdan-Mansour 2009,trt_034,-1.6110768599596539,1,44
Hao 2014,trt_038,-2.011832085772901,1,127
Hao 2014,trt_039,-1.7494192050199135,1,132
Hashemi 2012,trt_039,-3.518263819004147,1,48
Hashemi 2012,trt_046,-2.7258246805256183,1,49
Hatcher 2018,trt_028,-0.9984167811167354,1,22
Hatcher 2018,trt_041,-1.321847569365819,1,22
Heller 2009,trt_038,-4.025483224380655,1,15
Heller 2009,trt_039,-3.747679471669581,1,14
Hemat-Far 2012,trt_018,-1.5062570462537481,1,10
Hemat-Far 2012,trt_028,-0.1793163150302081,1,10
Hermens 2007,trt_028,-5.469247456621296,1,96
Hermens 2007,trt_039,-5.53653169598219,1,85
Hersen 1984,trt_022,-1.8017958077445255,1,22
Hersen 1984,trt_046,-2.474428079102688,1,14
Hewett 2009,trt_031,-2.972721713215468,1,197
Hewett 2009,trt_038,-2.9727217132154684,1,187
