t1,treatment_1,t2,treatment_2,mean,lcl,ucl,effect_95CrI
trt_034,Psychoeducation group,trt_002,Acupuncture + AD,0.06429697321220411,-1.692942795379656,0.730952641500044,0.064 (-1.693 to 0.731)
trt_035,Psychoeducation group + AD,trt_002,Acupuncture + AD,-0.4564527357190189,-2.6569644897021663,0.65339319425208775,-0.456 (-2.657 to 0.653)
trt_036,Relaxation individual + AD,trt_002,Acupuncture + AD,-0.19679184418846637,-2.139884117500458,0.6560494930095478,-0.197 (-2.140 to 0.656)
trt_037,Relaxation individual + placebo,trt_002,Acupuncture + AD,-0.5118769495520852,-2.76367348262482,0.6532857066454324,-0.512 (-2.764 to 0.653)
trt_038,SNRIs,trt_002,Acupuncture + AD,-0.2891492858092463,-1.6332685848982544,0.6530805910119216,-0.289 (-1.633 to 0.653)
trt_039,SSRIs,trt_002,Acupuncture + AD,-0.31719327740738734,-1.6676492417823652,0.6530805910119216,-0.317 (-1.668 to 0.653)
trt_040,Self-help,trt_002,Acupuncture + AD,-0.3137413740782683,-1.8827275850223668,0.6530805910119216,-0.314 (-1.883 to 0.653)
trt_041,Self-help with support,trt_002,Acupuncture + AD,-0.32636582111019824,-1.9023480344641939,0.6530805910119216,-0.326 (-1.902 to 0.653)
trt_042,Sham acupuncture,trt_002,Acupuncture + AD,-0.48884410241061216,-2.370635982951193,0.6530805910119216,-0.489 (-2.371 to 0.653)
trt_043,Short-term psychodynamic psychotherapies individual,trt_002,Acupuncture + AD,-0.29973191674156935,-1.9362969826012424,0.6530832610268091,-0.300 (-1.936 to 0.653)
trt_044,Short-term psychodynamic psychotherapies individual + AD,trt_002,Acupuncture + AD,-0.4213127933587368,-2.563332468897772,0.65339319425208775,-0.421 (-2.563 to 0.653)
trt_045,TAU,trt_002,Acupuncture + AD,-0.4373731658773009,-2.1213294984216873,0.6530805910119216,-0.437 (-2.121 to 0.653)
trt_046,TCAs,trt_002,Acupuncture + AD,-0.27498696720962323,-1.6024730217324186,0.6530805910119216,-0.275 (-1.602 to 0.653)
trt_047,Trazodone,trt_002,Acupuncture + AD,-0.3918675602427799,-1.9122894681720748,0.6530805910119216,-0.392 (-1.912 to 0.653)
trt_048,Waitlist,trt_002,Acupuncture + AD,-1.013820965363489,-3.23739187804211,0.6530805910119216,-1.014 (-3.237 to 0.653)
trt_049,Yoga group,trt_002,Acupuncture + AD,-0.18746883031533007,-1.9307052421378372,0.6539799047940638,-0.187 (-1.931 to 0.654)
trt_050,Yoga group + AD,trt_002,Acupuncture + AD,0.22618968469443404,-1.4575696926753672,1.154707087928531,0.226 (-1.458 to 1.155)
trt_001,Acupuncture,trt_003,Any AD,0.5965701494311703,-0.02262661714384365,1.2001112773448646,0.597 (-0.023 to 1.200)
trt_002,Acupuncture + AD,trt_003,Any AD,0.9729792457135651,0.5535825764403584,1.9572622598391904,0.973 (0.554 to 1.957)
trt_004,Any psychotherapy,trt_003,Any AD,-0.20986673391225888,-2.04584959210655,0.6543523762666626,-0.210 (-2.046 to 0.654)
trt_005,Attention placebo,trt_003,Any AD,-0.2509013815429584,-2.041942212668955,0.653452001093242,-0.251 (-2.042 to 0.653)
trt_006,Behavioural therapies individual,trt_003,Any AD,-0.4336560017395606,-2.290672828896073,0.6530832610268091,-0.434 (-2.291 to 0.653)
trt_007,Behavioural therapies individual + AD,trt_003,Any AD,0.42901929325093996,-0.7278679376623867,1.242284490010262,0.429 (-0.728 to 1.242)
trt_008,Cognitive and cognitive behavioural therapies group,trt_003,Any AD,0.5652953653157641,-0.05429711682366525,1.1127619159685933,0.565 (-0.054 to 1.113)
trt_009,Cognitive and cognitive behavioural therapies group + AD,trt_003,Any AD,0.635241617422635,-0.09909386778357099,1.4312196681212344,0.635 (-0.099 to 1.431)
trt_010,Cognitive and cognitive behavioural therapies individual,trt_003,Any AD,0.4740664914829955,-0.07517356124403482,0.7616469418685974,0.474 (-0.075 to 0.762)
trt_011,Cognitive and cognitive behavioural therapies individual + AD,trt_003,Any AD,0.8486076638987871,0.529653750522612,1.6484502241470471,0.849 (0.530 to 1.648)
trt_012,Cognitive and cognitive behavioural therapies individual + placebo,trt_003,Any AD,0.7930162964232765,0.14949738727079337,1.8165913968958833,0.793 (0.149 to 1.817)
trt_013,Counselling individual,trt_003,Any AD,0.3885080163630974,-0.4586430925822484,0.800839969744523,0.389 (-0.459 to 0.801)
trt_014,Counselling individual + AD,trt_003,Any AD,0.12677265586532602,-1.4987009433613017,0.7862309637038327,0.127 (-1.499 to 0.786)
trt_015,Counselling individual + placebo,trt_003,Any AD,-0.045862886283928615,-2.283705845233295,0.8794622664629529,-0.046 (-2.284 to 0.879)
trt_016,Exercise group,trt_003,Any AD,0.5311495547575965,-0.26721131043431384,1.1801656314810354,0.531 (-0.267 to 1.180)
trt_017,Exercise group + AD,trt_003,Any AD,1.815700357384571,0.5590771671433378,4.163099225635028,1.816 (0.559 to 4.163)
trt_018,Exercise individual,trt_003,Any AD,0.46069286069775417,-0.3964957216401344,1.0316851194429946,0.461 (-0.396 to 1.032)
trt_019,Exercise individual + AD,trt_003,Any AD,0.7802358101997626,0.1579207361365494,1.7469619945430095,0.780 (0.158 to 1.747)
trt_020,Interpersonal psychotherapy (IPT) individual,trt_003,Any AD,0.3062470896146292,-0.573542616183679,0.6671463928534779,0.306 (-0.574 to 0.667)
trt_021,Interpersonal psychotherapy (IPT) individual + AD,trt_003,Any AD,0.40722914404508354,-0.41322081024079294,0.8348310429603591,0.407 (-0.413 to 0.835)
trt_022,Interpersonal psychotherapy (IPT) individual + placebo,trt_003,Any AD,0.2835071402787359,-0.7950304533272214,0.7189205527923394,0.284 (-0.795 to 0.719)
trt_023,Light therapy,trt_003,Any AD,0.5185614439454309,-0.5762097919122983,1.4447995985817341,0.519 (-0.576 to 1.445)
trt_024,Light therapy + AD,trt_003,Any AD,0.6687961985416467,-0.10310290981375475,1.567831919665705,0.669 (-0.103 to 1.568)
trt_025,Mindfulness or meditation group,trt_003,Any AD,2.182809990417265,0.5591015559072687,5.038925304241708,2.183 (0.559 to 5.039)
trt_026,Mirtazapine,trt_003,Any AD,0.4004983232929922,-0.2954297699434274,0.693775631594136,0.400 (-0.295 to 0.694)
trt_027,Music therapy group,trt_003,Any AD,0.4490217662304521,-1.0194050579183689,1.6079834031634799,0.449 (-1.019 to 1.608)
trt_028,No treatment,trt_003,Any AD,0.11658004956634498,-0.9026204756451274,0.6533166038228623,0.117 (-0.903 to 0.653)
trt_029,Peer support group,trt_003,Any AD,0.6461255791228367,-0.37429613061329786,1.7513172620296862,0.646 (-0.374 to 1.751)
trt_030,Peer support group + AD,trt_003,Any AD,0.7065630522999143,-0.24591328951046645,1.866873412184582,0.707 (-0.246 to 1.867)
trt_031,Placebo,trt_003,Any AD,0.0952993104266212,-0.8601038827774862,0.6531018949607533,0.095 (-0.860 to 0.653)
trt_032,Problem solving group,trt_003,Any AD,1.5548688467733525,0.558976634345962,3.472959970054907,1.555 (0.559 to 3.473)
trt_033,Problem solving individual,trt_003,Any AD,0.5398782321266853,-0.20161674677729455,1.155518242183022,0.540 (-0.202 to 1.156)
trt_034,Psychoeducation group,trt_003,Any AD,0.7350193707524145,-0.3227938256072269,2.0462313588558194,0.735 (-0.323 to 2.046)
trt_035,Psychoeducation group + AD,trt_003,Any AD,0.21426966182119156,-1.1670334882181908,0.8185041080238691,0.214 (-1.167 to 0.819)
trt_036,Relaxation individual + AD,trt_003,Any AD,0.4739305533517441,-0.7878710977590352,1.4698675226059845,0.474 (-0.788 to 1.470)
trt_037,Relaxation individual + placebo,trt_003,Any AD,0.1588454479881254,-1.4000490455667594,0.8351133477680962,0.159 (-1.400 to 0.835)
trt_038,SNRIs,trt_003,Any AD,0.3815731117309642,-0.29456969983685816,0.667923074505595,0.382 (-0.295 to 0.668)
trt_039,SSRIs,trt_003,Any AD,0.3535291201328231,-0.338150601226506,0.659769938176286,0.354 (-0.338 to 0.660)
trt_040,Self-help,trt_003,Any AD,0.35698102346194216,-0.480476898888457,0.7047735766596088,0.357 (-0.480 to 0.705)
trt_041,Self-help with support,trt_003,Any AD,0.3443565764300123,-0.49526691625427355,0.6851524745883802,0.344 (-0.495 to 0.685)
trt_042,Sham acupuncture,trt_003,Any AD,0.18187829512959833,-1.0162554828920314,0.6646070476705687,0.182 (-1.016 to 0.665)
trt_043,Short-term psychodynamic psychotherapies individual,trt_003,Any AD,0.3709904807986412,-0.549719058514397,0.8208012081017121,0.371 (-0.550 to 0.821)
trt_044,Short-term psychodynamic psychotherapies individual + AD,trt_003,Any AD,0.24940960418147362,-1.0822111536759624,0.8706256450178906,0.249 (-1.082 to 0.871)
trt_045,TAU,trt_003,Any AD,0.23334923166290955,-0.6960879198171356,0.6560870687789775,0.233 (-0.696 to 0.656)
trt_046,TCAs,trt_003,Any AD,0.3957354303305873,-0.25778185913497914,0.6711111111229573,0.396 (-0.258 to 0.671)
trt_047,Trazodone,trt_003,Any AD,0.27885483729743055,-0.574970542966628,0.6582585921881188,0.279 (-0.575 to 0.658)
trt_048,Waitlist,trt_003,Any AD,-0.34309856782327863,-1.833324468741834,0.6530805910119216,-0.343 (-1.833 to 0.653)
trt_049,Yoga group,trt_003,Any AD,0.4832535672248804,-0.5600986192823141,1.290102598753198,0.483 (-0.560 to 1.290)
trt_050,Yoga group + AD,trt_003,Any AD,0.8969120822346446,0.03248723449346272,2.3485390026156012,0.897 (0.032 to 2.349)
